display_order,lesson_id,level,category,title,grammar_point,jp_explanation,jp_example,en_example,learning_goal,quiz_id,quiz_order,question_jp,choice_a,choice_b,choice_c,choice_d,answer_index,explanation_jp,difficulty
1,G-PREP2-001,eiken_pre2,完了形,過去完了,had + 過去分詞,過去のある時点よりも、さらに前に起きたことを表す。完了・経験・継続・大過去の意味で使われる。,母が帰宅したとき、私は宿題を終えていた。,I had finished my homework when Mother came home.,新しい過去と古い過去を区別して、古いほうを過去完了で表せる。,Q-PREP2-001-01,1,「母が帰宅したとき、私は宿題を終えていた。」に最も近い英文はどれですか。,I finished my homework when Mother comes home.,I had finished my homework when Mother came home.,I have finished my homework when Mother came home.,I was finishing my homework tomorrow.,1,母が帰宅したのは過去。その時点より前に宿題を終えていたので had finished を使う。,2
1,G-PREP2-001,eiken_pre2,完了形,過去完了,had + 過去分詞,過去のある時点よりも、さらに前に起きたことを表す。完了・経験・継続・大過去の意味で使われる。,母が帰宅したとき、私は宿題を終えていた。,I had finished my homework when Mother came home.,新しい過去と古い過去を区別して、古いほうを過去完了で表せる。,Q-PREP2-001-02,2,「彼女が北海道に引っ越すまで、雪を見たことがなかった。」に最も近い英文はどれですか。,She never sees snow until she moved to Hokkaido.,She had never seen snow until she moved to Hokkaido.,She has never saw snow until she moved to Hokkaido.,She was never see snow until she moved to Hokkaido.,1,北海道に引っ越した時点より前の経験なので had never seen を使う。,2
1,G-PREP2-001,eiken_pre2,完了形,過去完了,had + 過去分詞,過去のある時点よりも、さらに前に起きたことを表す。完了・経験・継続・大過去の意味で使われる。,母が帰宅したとき、私は宿題を終えていた。,I had finished my homework when Mother came home.,新しい過去と古い過去を区別して、古いほうを過去完了で表せる。,Q-PREP2-001-03,3,空所に入る最も適切なものはどれですか。He lost the watch which I _____ him.,give,gave,had given,have given,2,時計をあげたのは、なくした時より前なので had given が正しい。,2
1,G-PREP2-001,eiken_pre2,完了形,過去完了,had + 過去分詞,過去のある時点よりも、さらに前に起きたことを表す。完了・経験・継続・大過去の意味で使われる。,母が帰宅したとき、私は宿題を終えていた。,I had finished my homework when Mother came home.,新しい過去と古い過去を区別して、古いほうを過去完了で表せる。,Q-PREP2-001-04,4,「彼らは結婚したとき、すでに長い間お互いを知っていた。」に最も近い英文はどれですか。,They had known each other when they got married.,They have known each other when they got married.,They knew each other when they will get married.,They are knowing each other when they got married.,0,結婚した時点より前から知っていたので had known を使う。,2
1,G-PREP2-001,eiken_pre2,完了形,過去完了,had + 過去分詞,過去のある時点よりも、さらに前に起きたことを表す。完了・経験・継続・大過去の意味で使われる。,母が帰宅したとき、私は宿題を終えていた。,I had finished my homework when Mother came home.,新しい過去と古い過去を区別して、古いほうを過去完了で表せる。,Q-PREP2-001-05,5,空所に入る最も適切なものはどれですか。She sold the book that she _____ three months before.,buys,has bought,had bought,will buy,2,売った時より3か月前に買っていたので had bought が正しい。,2
2,G-PREP2-002,eiken_pre2,仮定法,仮定法過去完了,"If + 主語 + had + 過去分詞, 主語 + would/could/might have + 過去分詞",過去に実際には起こらなかったことを仮定し、『もし〜していたら、〜だったのに』という意味を表す。,もし早く起きていたら、バスに乗り遅れなかったのに。,"If I had got up early, I wouldn't have missed the bus.",過去の事実と反対の内容を仮定法過去完了で表せる。,Q-PREP2-002-01,1,「もし彼がもっと勉強していたら、試験に合格したかもしれない。」に最も近い英文はどれですか。,"If he studies harder, he passes the exam.","If he had studied harder, he might have passed the exam.","If he studied harder, he will pass the exam.","If he has studied harder, he can pass the exam.",1,"過去に実際は十分勉強しなかったという仮定なので If + had studied, might have passed を使う。",2
2,G-PREP2-002,eiken_pre2,仮定法,仮定法過去完了,"If + 主語 + had + 過去分詞, 主語 + would/could/might have + 過去分詞",過去に実際には起こらなかったことを仮定し、『もし〜していたら、〜だったのに』という意味を表す。,もし早く起きていたら、バスに乗り遅れなかったのに。,"If I had got up early, I wouldn't have missed the bus.",過去の事実と反対の内容を仮定法過去完了で表せる。,Q-PREP2-002-02,2,"空所に入る最も適切なものはどれですか。If I _____ the bus, I could have been on time.",catch,caught,had caught,have caught,2,過去の事実と反対の仮定なので if節は had + 過去分詞。,2
2,G-PREP2-002,eiken_pre2,仮定法,仮定法過去完了,"If + 主語 + had + 過去分詞, 主語 + would/could/might have + 過去分詞",過去に実際には起こらなかったことを仮定し、『もし〜していたら、〜だったのに』という意味を表す。,もし早く起きていたら、バスに乗り遅れなかったのに。,"If I had got up early, I wouldn't have missed the bus.",過去の事実と反対の内容を仮定法過去完了で表せる。,Q-PREP2-002-03,3,「もし早く寝ていたら、眠くなかっただろうに。」に最も近い英文はどれですか。,"If I went to bed early, I am not sleepy.","If I had gone to bed early, I wouldn't have been sleepy.","If I have gone to bed early, I won't be sleepy.","If I go to bed early, I wasn't sleepy.",1,過去に早く寝なかったことを仮定しているので had gone / wouldn't have been。,2
2,G-PREP2-002,eiken_pre2,仮定法,仮定法過去完了,"If + 主語 + had + 過去分詞, 主語 + would/could/might have + 過去分詞",過去に実際には起こらなかったことを仮定し、『もし〜していたら、〜だったのに』という意味を表す。,もし早く起きていたら、バスに乗り遅れなかったのに。,"If I had got up early, I wouldn't have missed the bus.",過去の事実と反対の内容を仮定法過去完了で表せる。,Q-PREP2-002-04,4,"空所に入る最も適切なものはどれですか。If he had studied harder, he _____ the exam.",passes,will pass,might have passed,has passed,2,仮定法過去完了では、主節に might/would/could have + 過去分詞を使う。,2
2,G-PREP2-002,eiken_pre2,仮定法,仮定法過去完了,"If + 主語 + had + 過去分詞, 主語 + would/could/might have + 過去分詞",過去に実際には起こらなかったことを仮定し、『もし〜していたら、〜だったのに』という意味を表す。,もし早く起きていたら、バスに乗り遅れなかったのに。,"If I had got up early, I wouldn't have missed the bus.",過去の事実と反対の内容を仮定法過去完了で表せる。,Q-PREP2-002-05,5,「もし傘を持っていたら、ぬれなかったのに。」に最も近い英文はどれですか。,"If I have an umbrella, I don't get wet.","If I had had an umbrella, I wouldn't have got wet.","If I had an umbrella, I won't get wet.","If I have had an umbrella, I didn't get wet.",1,過去に傘を持っていなかったという反実仮想なので If I had had ... を使う。,2
3,G-PREP2-003,eiken_pre2,完了形,未来完了,will have + 過去分詞,未来のある時点までに『〜してしまっているだろう』『〜したことになるだろう』『〜していることになるだろう』を表す。,あなたが到着するころには、私たちは準備を終えているだろう。,"When you arrive, we will have completed all preparations.",未来の基準時点までの完了・経験・継続を表せる。,Q-PREP2-003-01,1,「来月で私は5年間英語を勉強していることになる。」に最も近い英文はどれですか。,I study English for five years by next month.,I studied English for five years by next month.,I'll have been studying English for 5 years by next month.,I have studied English yesterday.,2,未来のある時点までの継続なので will have been studying を使う。,2
3,G-PREP2-003,eiken_pre2,完了形,未来完了,will have + 過去分詞,未来のある時点までに『〜してしまっているだろう』『〜したことになるだろう』『〜していることになるだろう』を表す。,あなたが到着するころには、私たちは準備を終えているだろう。,"When you arrive, we will have completed all preparations.",未来の基準時点までの完了・経験・継続を表せる。,Q-PREP2-003-02,2,"空所に入る最も適切なものはどれですか。By the time you arrive, I _____ my work.",finish,finished,will have finished,am finishing,2,未来のある時点までの完了なので will have finished。,2
3,G-PREP2-003,eiken_pre2,完了形,未来完了,will have + 過去分詞,未来のある時点までに『〜してしまっているだろう』『〜したことになるだろう』『〜していることになるだろう』を表す。,あなたが到着するころには、私たちは準備を終えているだろう。,"When you arrive, we will have completed all preparations.",未来の基準時点までの完了・経験・継続を表せる。,Q-PREP2-003-03,3,「そこへもう一度行けば、ハワイに3回行ったことになる。」に最も近い英文はどれですか。,I'll have been to Hawaii three times if I go there again.,I went to Hawaii three times if I go there again.,I have go to Hawaii three times if I went there again.,I will be going Hawaii three times if I go there again.,0,未来の時点での経験回数なので will have been to を使う。,2
3,G-PREP2-003,eiken_pre2,完了形,未来完了,will have + 過去分詞,未来のある時点までに『〜してしまっているだろう』『〜したことになるだろう』『〜していることになるだろう』を表す。,あなたが到着するころには、私たちは準備を終えているだろう。,"When you arrive, we will have completed all preparations.",未来の基準時点までの完了・経験・継続を表せる。,Q-PREP2-003-04,4,"空所に入る最も適切なものはどれですか。This summer, we _____ married for five years.",are,were,will have been,have been being,2,未来の時点までの継続なので will have been married。,2
3,G-PREP2-003,eiken_pre2,完了形,未来完了,will have + 過去分詞,未来のある時点までに『〜してしまっているだろう』『〜したことになるだろう』『〜していることになるだろう』を表す。,あなたが到着するころには、私たちは準備を終えているだろう。,"When you arrive, we will have completed all preparations.",未来の基準時点までの完了・経験・継続を表せる。,Q-PREP2-003-05,5,「あなたが来るまでに、私は仕事を終えていないだろう。」に最も近い英文はどれですか。,I won’t have done my work by the time you arrive.,I didn’t do my work by the time you arrive.,I won’t did my work by the time you arrive.,I haven’t doing my work by the time you arrive.,0,未来完了の否定は won’t have + 過去分詞。,2
4,G-PREP2-004,eiken_pre2,助動詞,助動詞＋完了,may/must/can't/should + have + 過去分詞,過去のことについて推量・後悔・非難を表す。may have は『〜したかもしれない』、must have は『〜したにちがいない』、should have は『〜すべきだった』。,彼はここに来たにちがいない。,He must have come here.,過去についての推量・後悔を助動詞＋完了で表せる。,Q-PREP2-004-01,1,「私はお金を貯めるべきだった。」に最も近い英文はどれですか。,I should have saved money.,I should save money yesterday.,I must saving money.,I can't have saved money.,0,過去に実際はしなかったことへの後悔なので should have saved を使う。,2
4,G-PREP2-004,eiken_pre2,助動詞,助動詞＋完了,may/must/can't/should + have + 過去分詞,過去のことについて推量・後悔・非難を表す。may have は『〜したかもしれない』、must have は『〜したにちがいない』、should have は『〜すべきだった』。,彼はここに来たにちがいない。,He must have come here.,過去についての推量・後悔を助動詞＋完了で表せる。,Q-PREP2-004-02,2,空所に入る最も適切なものはどれですか。She _____ here. I saw her bag on the desk.,must have come,can come,should come,may coming,0,強い推量『〜したにちがいない』は must have + 過去分詞。,2
4,G-PREP2-004,eiken_pre2,助動詞,助動詞＋完了,may/must/can't/should + have + 過去分詞,過去のことについて推量・後悔・非難を表す。may have は『〜したかもしれない』、must have は『〜したにちがいない』、should have は『〜すべきだった』。,彼はここに来たにちがいない。,He must have come here.,過去についての推量・後悔を助動詞＋完了で表せる。,Q-PREP2-004-03,3,「彼がここに来たはずがない。」に最も近い英文はどれですか。,He must have come here.,He can't have come here.,He should have come here.,He may come here.,1,過去について『〜したはずがない』は can't have + 過去分詞。,2
4,G-PREP2-004,eiken_pre2,助動詞,助動詞＋完了,may/must/can't/should + have + 過去分詞,過去のことについて推量・後悔・非難を表す。may have は『〜したかもしれない』、must have は『〜したにちがいない』、should have は『〜すべきだった』。,彼はここに来たにちがいない。,He must have come here.,過去についての推量・後悔を助動詞＋完了で表せる。,Q-PREP2-004-04,4,空所に入る最も適切なものはどれですか。You _____ so much money.,shouldn't have wasted,shouldn't wasting,mustn't wasted,can't wasting,0,過去への非難『〜すべきではなかった』は shouldn't have + 過去分詞。,2
4,G-PREP2-004,eiken_pre2,助動詞,助動詞＋完了,may/must/can't/should + have + 過去分詞,過去のことについて推量・後悔・非難を表す。may have は『〜したかもしれない』、must have は『〜したにちがいない』、should have は『〜すべきだった』。,彼はここに来たにちがいない。,He must have come here.,過去についての推量・後悔を助動詞＋完了で表せる。,Q-PREP2-004-05,5,「彼はひょっとしたらここに来たかもしれない。」に最も近い英文はどれですか。,He might have come here.,He must come here.,He can't have come here.,He should coming here.,0,弱い推量『ひょっとしたら〜したかもしれない』は might have + 過去分詞。,2
5,G-PREP2-005,eiken_pre2,助動詞,助動詞の慣用表現,had better / ought to / can't help ~ing / cannot ... too ~,had better は『〜したほうがよい』、ought to は『〜すべき』、can't help ~ing は『〜せずにはいられない』を表す。,あなたはもっと一生懸命勉強したほうがよい。,You had better study harder.,準2級でよく出る助動詞の慣用表現を理解する。,Q-PREP2-005-01,1,「その映画を見ると泣かずにはいられない。」に最も近い英文はどれですか。,I can't help crying when I watch the movie.,I can't too cry when I watch the movie.,I had better crying when I watch the movie.,I ought crying when I watch the movie.,0,『〜せずにはいられない』は can't help ~ing を使う。,2
5,G-PREP2-005,eiken_pre2,助動詞,助動詞の慣用表現,had better / ought to / can't help ~ing / cannot ... too ~,had better は『〜したほうがよい』、ought to は『〜すべき』、can't help ~ing は『〜せずにはいられない』を表す。,あなたはもっと一生懸命勉強したほうがよい。,You had better study harder.,準2級でよく出る助動詞の慣用表現を理解する。,Q-PREP2-005-02,2,空所に入る最も適切なものはどれですか。You _____ read more books.,ought to,had to better,can't help,cannot too,0,『〜すべき』は ought to + 原形。,2
5,G-PREP2-005,eiken_pre2,助動詞,助動詞の慣用表現,had better / ought to / can't help ~ing / cannot ... too ~,had better は『〜したほうがよい』、ought to は『〜すべき』、can't help ~ing は『〜せずにはいられない』を表す。,あなたはもっと一生懸命勉強したほうがよい。,You had better study harder.,準2級でよく出る助動詞の慣用表現を理解する。,Q-PREP2-005-03,3,「注意しすぎることはない。」に最も近い英文はどれですか。,You can't be too careful.,You can't careful too be.,You had better too careful.,You ought careful too.,0,cannot ... too ~ は『いくら〜してもしすぎることはない』。,2
5,G-PREP2-005,eiken_pre2,助動詞,助動詞の慣用表現,had better / ought to / can't help ~ing / cannot ... too ~,had better は『〜したほうがよい』、ought to は『〜すべき』、can't help ~ing は『〜せずにはいられない』を表す。,あなたはもっと一生懸命勉強したほうがよい。,You had better study harder.,準2級でよく出る助動詞の慣用表現を理解する。,Q-PREP2-005-04,4,空所に入る最も適切なものはどれですか。You had better _____ harder.,study,to study,studying,studied,0,had better の後は動詞の原形。,2
5,G-PREP2-005,eiken_pre2,助動詞,助動詞の慣用表現,had better / ought to / can't help ~ing / cannot ... too ~,had better は『〜したほうがよい』、ought to は『〜すべき』、can't help ~ing は『〜せずにはいられない』を表す。,あなたはもっと一生懸命勉強したほうがよい。,You had better study harder.,準2級でよく出る助動詞の慣用表現を理解する。,Q-PREP2-005-05,5,「あなたにはいくら感謝してもしすぎることはありません。」に最も近い英文はどれですか。,I cannot thank you too much.,I cannot too much thanking you.,I had better thank you too much.,I can't help thank you too much.,0,cannot ... too ~ の慣用表現。,2
6,G-PREP2-006,eiken_pre2,受動態,受動態の発展,助動詞 + be + 過去分詞 / be being p.p. / have been p.p.,助動詞・進行形・完了形と組み合わせて『〜されなければならない』『〜されているところだ』『〜されてきた』を表す。,その本は多くの人に読まれてきた。,The book has been read by many people.,受動態を時制や助動詞と組み合わせて使える。,Q-PREP2-006-01,1,「その部屋は今掃除されているところです。」に最も近い英文はどれですか。,The room cleans now.,The room is being cleaned now.,The room has cleaned now.,The room must cleaning now.,1,『今〜されているところ』は is being cleaned のように受動態の進行形を使う。,2
6,G-PREP2-006,eiken_pre2,受動態,受動態の発展,助動詞 + be + 過去分詞 / be being p.p. / have been p.p.,助動詞・進行形・完了形と組み合わせて『〜されなければならない』『〜されているところだ』『〜されてきた』を表す。,その本は多くの人に読まれてきた。,The book has been read by many people.,受動態を時制や助動詞と組み合わせて使える。,Q-PREP2-006-02,2,空所に入る最も適切なものはどれですか。The book must _____ soon.,return,returned,be returned,being returned,2,助動詞の受動態は must be + 過去分詞。,2
6,G-PREP2-006,eiken_pre2,受動態,受動態の発展,助動詞 + be + 過去分詞 / be being p.p. / have been p.p.,助動詞・進行形・完了形と組み合わせて『〜されなければならない』『〜されているところだ』『〜されてきた』を表す。,その本は多くの人に読まれてきた。,The book has been read by many people.,受動態を時制や助動詞と組み合わせて使える。,Q-PREP2-006-03,3,「そのドアは開けられてはいけません。」に最も近い英文はどれですか。,The door must not be opened.,The door must not open.,The door must not opened.,The door must not being opened.,0,『〜されてはいけない』は must not be + 過去分詞。,2
6,G-PREP2-006,eiken_pre2,受動態,受動態の発展,助動詞 + be + 過去分詞 / be being p.p. / have been p.p.,助動詞・進行形・完了形と組み合わせて『〜されなければならない』『〜されているところだ』『〜されてきた』を表す。,その本は多くの人に読まれてきた。,The book has been read by many people.,受動態を時制や助動詞と組み合わせて使える。,Q-PREP2-006-04,4,空所に入る最も適切なものはどれですか。A beautiful view can _____ from here.,see,saw,be seen,seeing,2,can の受動態は can be + 過去分詞。,2
6,G-PREP2-006,eiken_pre2,受動態,受動態の発展,助動詞 + be + 過去分詞 / be being p.p. / have been p.p.,助動詞・進行形・完了形と組み合わせて『〜されなければならない』『〜されているところだ』『〜されてきた』を表す。,その本は多くの人に読まれてきた。,The book has been read by many people.,受動態を時制や助動詞と組み合わせて使える。,Q-PREP2-006-05,5,「私はその結果に満足しています。」に最も近い英文はどれですか。,I am satisfied with the result.,I am satisfied by the result.,I am satisfying with the result.,I satisfy with the result.,0,be satisfied with は『〜に満足している』。,2
7,G-PREP2-007,eiken_pre2,不定詞,不定詞の発展用法,結果 / be to / seem to / for A to / of A to / too ... to,不定詞は目的だけでなく、結果・予定・判断・意味上の主語・程度などを表す。,彼は成長して医者になった。,He grew up to be a doctor.,不定詞の複数の意味を文脈で判断できる。,Q-PREP2-007-01,1,「私は疲れすぎて走れなかった。」に最も近い英文はどれですか。,I was too tired to run.,I was enough tired to run.,I tired to run too.,I was tired so run.,0,『〜すぎて…できない』は too ... to ~ を使う。,2
7,G-PREP2-007,eiken_pre2,不定詞,不定詞の発展用法,結果 / be to / seem to / for A to / of A to / too ... to,不定詞は目的だけでなく、結果・予定・判断・意味上の主語・程度などを表す。,彼は成長して医者になった。,He grew up to be a doctor.,不定詞の複数の意味を文脈で判断できる。,Q-PREP2-007-02,2,空所に入る最も適切なものはどれですか。The train is _____ at six.,arrive,to arrive,arriving to,arrived to,1,be to + 原形で予定を表す。,2
7,G-PREP2-007,eiken_pre2,不定詞,不定詞の発展用法,結果 / be to / seem to / for A to / of A to / too ... to,不定詞は目的だけでなく、結果・予定・判断・意味上の主語・程度などを表す。,彼は成長して医者になった。,He grew up to be a doctor.,不定詞の複数の意味を文脈で判断できる。,Q-PREP2-007-03,3,「彼はこの歌が好きなようだ。」に最も近い英文はどれですか。,He seems to like this song.,He seems liking this song.,He seems that like this song.,He seems to likes this song.,0,seem to + 原形で『〜のようだ』。,2
7,G-PREP2-007,eiken_pre2,不定詞,不定詞の発展用法,結果 / be to / seem to / for A to / of A to / too ... to,不定詞は目的だけでなく、結果・予定・判断・意味上の主語・程度などを表す。,彼は成長して医者になった。,He grew up to be a doctor.,不定詞の複数の意味を文脈で判断できる。,Q-PREP2-007-04,4,空所に入る最も適切なものはどれですか。It was careless _____ you to make such a mistake.,for,of,to,with,1,人の性質を表す形容詞 careless では It is ... of A to ~ を使う。,2
7,G-PREP2-007,eiken_pre2,不定詞,不定詞の発展用法,結果 / be to / seem to / for A to / of A to / too ... to,不定詞は目的だけでなく、結果・予定・判断・意味上の主語・程度などを表す。,彼は成長して医者になった。,He grew up to be a doctor.,不定詞の複数の意味を文脈で判断できる。,Q-PREP2-007-05,5,「ガラスを割らないように気をつけなさい。」に最も近い英文はどれですか。,Be careful not to break the glass.,Be careful to not breaking the glass.,Be careful not break the glass.,Be careful don't break the glass.,0,『〜しないように』は not to + 原形。,2
8,G-PREP2-008,eiken_pre2,不定詞,原形不定詞,知覚動詞・使役動詞 + 目的語 + 原形,see/hear などの知覚動詞、make/have/let などの使役動詞の後では、to をつけない原形不定詞を使うことがある。,私は彼が店に入るのを見た。,I saw him enter the shop.,知覚動詞・使役動詞の後の動詞の形を選べる。,Q-PREP2-008-01,1,「母は私を外出させてくれなかった。」に最も近い英文はどれですか。,My mother didn’t let me go out.,My mother didn’t let me to go out.,My mother didn’t made me went out.,My mother didn’t had me going out.,0,let + 人 + 原形なので go out が正しい。,2
8,G-PREP2-008,eiken_pre2,不定詞,原形不定詞,知覚動詞・使役動詞 + 目的語 + 原形,see/hear などの知覚動詞、make/have/let などの使役動詞の後では、to をつけない原形不定詞を使うことがある。,私は彼が店に入るのを見た。,I saw him enter the shop.,知覚動詞・使役動詞の後の動詞の形を選べる。,Q-PREP2-008-02,2,空所に入る最も適切なものはどれですか。I heard someone _____ me.,call,to call,called,calls,0,知覚動詞 hear + 人 + 原形。,2
8,G-PREP2-008,eiken_pre2,不定詞,原形不定詞,知覚動詞・使役動詞 + 目的語 + 原形,see/hear などの知覚動詞、make/have/let などの使役動詞の後では、to をつけない原形不定詞を使うことがある。,私は彼が店に入るのを見た。,I saw him enter the shop.,知覚動詞・使役動詞の後の動詞の形を選べる。,Q-PREP2-008-03,3,「私は彼にその仕事をさせるつもりです。」に最も近い英文はどれですか。,I will make him do the work.,I will make him to do the work.,I will make him doing the work.,I will make him does the work.,0,make + 人 + 原形で『無理に〜させる』。,2
8,G-PREP2-008,eiken_pre2,不定詞,原形不定詞,知覚動詞・使役動詞 + 目的語 + 原形,see/hear などの知覚動詞、make/have/let などの使役動詞の後では、to をつけない原形不定詞を使うことがある。,私は彼が店に入るのを見た。,I saw him enter the shop.,知覚動詞・使役動詞の後の動詞の形を選べる。,Q-PREP2-008-04,4,空所に入る最も適切なものはどれですか。We had her _____ our picture.,take,to take,taken,takes,0,have + 人 + 原形で『〜してもらう』。,2
8,G-PREP2-008,eiken_pre2,不定詞,原形不定詞,知覚動詞・使役動詞 + 目的語 + 原形,see/hear などの知覚動詞、make/have/let などの使役動詞の後では、to をつけない原形不定詞を使うことがある。,私は彼が店に入るのを見た。,I saw him enter the shop.,知覚動詞・使役動詞の後の動詞の形を選べる。,Q-PREP2-008-05,5,「私は彼がピアノを弾くのを聞いた。」に最も近い英文はどれですか。,I listened to him play the piano.,I listened to him to play the piano.,I listened him playing the piano.,I listened to him played the piano.,0,listen to + 人 + 原形で『人が〜するのを聞く』。,2
