display_order,lesson_id,level,category,title,grammar_point,jp_explanation,jp_example,en_example,learning_goal,quiz_id,quiz_order,question_jp,choice_a,choice_b,choice_c,choice_d,answer_index,explanation_jp,difficulty
9,G-PREP2-009,eiken_pre2,動名詞,動名詞,所有格/目的格 + ~ing / 動名詞だけをとる動詞 / forget・remember,動名詞は名詞の働きをし、前置詞の後や特定の動詞の後に使う。forget/remember は to不定詞と動名詞で意味が変わる。,私は彼が成功すると確信している。,I am sure of his succeeding.,動名詞を使う場面と to不定詞との意味の違いを理解する。,Q-PREP2-009-01,1,「私は彼に会ったことを覚えている。」に最も近い英文はどれですか。,I remember to meet him.,I remember meeting him.,I remember meet him.,I remember met him.,1,『〜したことを覚えている』は remember ~ing を使う。remember to は『忘れずに〜する』。,2
9,G-PREP2-009,eiken_pre2,動名詞,動名詞,所有格/目的格 + ~ing / 動名詞だけをとる動詞 / forget・remember,動名詞は名詞の働きをし、前置詞の後や特定の動詞の後に使う。forget/remember は to不定詞と動名詞で意味が変わる。,私は彼が成功すると確信している。,I am sure of his succeeding.,動名詞を使う場面と to不定詞との意味の違いを理解する。,Q-PREP2-009-02,2,空所に入る最も適切なものはどれですか。I don't mind _____ early.,get up,to get up,getting up,got up,2,mind の後は動名詞。,2
9,G-PREP2-009,eiken_pre2,動名詞,動名詞,所有格/目的格 + ~ing / 動名詞だけをとる動詞 / forget・remember,動名詞は名詞の働きをし、前置詞の後や特定の動詞の後に使う。forget/remember は to不定詞と動名詞で意味が変わる。,私は彼が成功すると確信している。,I am sure of his succeeding.,動名詞を使う場面と to不定詞との意味の違いを理解する。,Q-PREP2-009-03,3,「彼はその事実を否定した。」に最も近い英文はどれですか。,He denied knowing the fact.,He denied to know the fact.,He denied know the fact.,He denied knew the fact.,0,deny の後は動名詞。,2
9,G-PREP2-009,eiken_pre2,動名詞,動名詞,所有格/目的格 + ~ing / 動名詞だけをとる動詞 / forget・remember,動名詞は名詞の働きをし、前置詞の後や特定の動詞の後に使う。forget/remember は to不定詞と動名詞で意味が変わる。,私は彼が成功すると確信している。,I am sure of his succeeding.,動名詞を使う場面と to不定詞との意味の違いを理解する。,Q-PREP2-009-04,4,空所に入る最も適切なものはどれですか。I look forward to _____ you.,see,to see,seeing,saw,2,look forward to の to は前置詞なので後ろは動名詞。,2
9,G-PREP2-009,eiken_pre2,動名詞,動名詞,所有格/目的格 + ~ing / 動名詞だけをとる動詞 / forget・remember,動名詞は名詞の働きをし、前置詞の後や特定の動詞の後に使う。forget/remember は to不定詞と動名詞で意味が変わる。,私は彼が成功すると確信している。,I am sure of his succeeding.,動名詞を使う場面と to不定詞との意味の違いを理解する。,Q-PREP2-009-05,5,「私は忘れずに彼に電話する。」に最も近い英文はどれですか。,I remember calling him.,I remember to call him.,I remember called him.,I remember call him yesterday.,1,remember to ~ は『忘れずに〜する』。remember ~ing は『〜したことを覚えている』。,2
10,G-PREP2-010,eiken_pre2,分詞,分詞と分詞構文,現在分詞 / 過去分詞 / 分詞構文,現在分詞は『〜している』、過去分詞は『〜される』の意味を表す。分詞構文では時・理由・付帯状況などを表す。,疲れていたので、私は早く寝た。,"Being tired, I went to bed early.",分詞の意味と分詞構文の働きを理解する。,Q-PREP2-010-01,1,「私は自分の名前が呼ばれるのを聞いた。」に最も近い英文はどれですか。,I heard my name called.,I heard my name calling.,I heard my name to call.,I heard my name calls.,0,名前は『呼ばれる』側なので、過去分詞 called を使う。,2
10,G-PREP2-010,eiken_pre2,分詞,分詞と分詞構文,現在分詞 / 過去分詞 / 分詞構文,現在分詞は『〜している』、過去分詞は『〜される』の意味を表す。分詞構文では時・理由・付帯状況などを表す。,疲れていたので、私は早く寝た。,"Being tired, I went to bed early.",分詞の意味と分詞構文の働きを理解する。,Q-PREP2-010-02,2,空所に入る最も適切なものはどれですか。I saw him _____ in the park.,run,running,ran,to running,1,『走っているのを見た』という進行中の動作なので現在分詞 running。,2
10,G-PREP2-010,eiken_pre2,分詞,分詞と分詞構文,現在分詞 / 過去分詞 / 分詞構文,現在分詞は『〜している』、過去分詞は『〜される』の意味を表す。分詞構文では時・理由・付帯状況などを表す。,疲れていたので、私は早く寝た。,"Being tired, I went to bed early.",分詞の意味と分詞構文の働きを理解する。,Q-PREP2-010-03,3,「私は家を塗ってもらった。」に最も近い英文はどれですか。,I had my house painted.,I had my house painting.,I had my house to paint.,I had painted my house by myself only.,0,家は塗られる側なので have + 目的語 + 過去分詞。,2
10,G-PREP2-010,eiken_pre2,分詞,分詞と分詞構文,現在分詞 / 過去分詞 / 分詞構文,現在分詞は『〜している』、過去分詞は『〜される』の意味を表す。分詞構文では時・理由・付帯状況などを表す。,疲れていたので、私は早く寝た。,"Being tired, I went to bed early.",分詞の意味と分詞構文の働きを理解する。,Q-PREP2-010-04,4,"空所に入る最も適切なものはどれですか。_____ tired, I went to bed early.",Being,Be,Been,To be,0,理由を表す分詞構文では Being tired が使える。Being は省略されることもある。,2
10,G-PREP2-010,eiken_pre2,分詞,分詞と分詞構文,現在分詞 / 過去分詞 / 分詞構文,現在分詞は『〜している』、過去分詞は『〜される』の意味を表す。分詞構文では時・理由・付帯状況などを表す。,疲れていたので、私は早く寝た。,"Being tired, I went to bed early.",分詞の意味と分詞構文の働きを理解する。,Q-PREP2-010-05,5,「音楽を聞きながら、私は勉強します。」に最も近い英文はどれですか。,I study listening to music.,I study listened to music.,I study to listen music.,I study and listening music.,0,付帯状況『〜しながら』は分詞構文 listening to music で表せる。,2
11,G-PREP2-011,eiken_pre2,仮定法,仮定法過去・I wish,"If + 過去形, would/could + 原形 / I wish + 過去形",現在の事実と反対のこと、実現しにくい願望を表す。be動詞は主語が単数でも were を使うことが多い。,もし私が鳥なら、空を飛べるのに。,"If I were a bird, I could fly in the sky.",現在の事実と反対の仮定や願望を表せる。,Q-PREP2-011-01,1,「あなたがここにいたらいいのに。」に最も近い英文はどれですか。,I wish you are here.,I wish you were here.,I hope you were here yesterday.,I wish you will here.,1,現在の願望だが、実際はいないので I wish + 過去形 were を使う。,2
11,G-PREP2-011,eiken_pre2,仮定法,仮定法過去・I wish,"If + 過去形, would/could + 原形 / I wish + 過去形",現在の事実と反対のこと、実現しにくい願望を表す。be動詞は主語が単数でも were を使うことが多い。,もし私が鳥なら、空を飛べるのに。,"If I were a bird, I could fly in the sky.",現在の事実と反対の仮定や願望を表せる。,Q-PREP2-011-02,2,"空所に入る最も適切なものはどれですか。If I _____ much money, I would buy them.",have,had,will have,has,1,現在の事実と反対の仮定なので if節は過去形。,2
11,G-PREP2-011,eiken_pre2,仮定法,仮定法過去・I wish,"If + 過去形, would/could + 原形 / I wish + 過去形",現在の事実と反対のこと、実現しにくい願望を表す。be動詞は主語が単数でも were を使うことが多い。,もし私が鳥なら、空を飛べるのに。,"If I were a bird, I could fly in the sky.",現在の事実と反対の仮定や願望を表せる。,Q-PREP2-011-03,3,「もし今日晴れていたら、テニスをするのに。」に最も近い英文はどれですか。,"If it were sunny today, we would play tennis.","If it is sunny today, we played tennis.","If it was sunny today, we will play tennis.","If it be sunny today, we play tennis.",0,仮定法では be動詞は were を使うことが多い。,2
11,G-PREP2-011,eiken_pre2,仮定法,仮定法過去・I wish,"If + 過去形, would/could + 原形 / I wish + 過去形",現在の事実と反対のこと、実現しにくい願望を表す。be動詞は主語が単数でも were を使うことが多い。,もし私が鳥なら、空を飛べるのに。,"If I were a bird, I could fly in the sky.",現在の事実と反対の仮定や願望を表せる。,Q-PREP2-011-04,4,空所に入る最も適切なものはどれですか。I wish I _____ go with you.,can,could,will,am able,1,実現しにくい願望は I wish + 助動詞の過去形。,2
11,G-PREP2-011,eiken_pre2,仮定法,仮定法過去・I wish,"If + 過去形, would/could + 原形 / I wish + 過去形",現在の事実と反対のこと、実現しにくい願望を表す。be動詞は主語が単数でも were を使うことが多い。,もし私が鳥なら、空を飛べるのに。,"If I were a bird, I could fly in the sky.",現在の事実と反対の仮定や願望を表せる。,Q-PREP2-011-05,5,「私が鳥だったらいいのに。」に最も近い英文はどれですか。,I wish I were a bird.,I wish I am a bird.,I hope I were a bird.,I wish I will be a bird.,0,I wish + 主語 + were で現在の事実と反対の願望を表す。,2
12,G-PREP2-012,eiken_pre2,関係詞,関係代名詞,非制限用法 / whose / what,関係代名詞は名詞を詳しく説明する。コンマ付きの非制限用法は追加説明、whose は所有、what は『〜すること・もの』を表す。,これは私が探していたものです。,This is what I’ve been looking for.,who/whose/what と制限・非制限用法を区別する。,Q-PREP2-012-01,1,「私は名前がオリビアというカナダ人の女の子に会った。」に最も近い英文はどれですか。,I met a Canadian girl whose name is Olivia.,I met a Canadian girl who name is Olivia.,I met a Canadian girl what name is Olivia.,I met a Canadian girl which name is Olivia.,0,『〜の名前』という所有を表すので whose を使う。,2
12,G-PREP2-012,eiken_pre2,関係詞,関係代名詞,非制限用法 / whose / what,関係代名詞は名詞を詳しく説明する。コンマ付きの非制限用法は追加説明、whose は所有、what は『〜すること・もの』を表す。,これは私が探していたものです。,This is what I’ve been looking for.,who/whose/what と制限・非制限用法を区別する。,Q-PREP2-012-02,2,"空所に入る最も適切なものはどれですか。He has a friend, _____ lives in Canada.",who,which,what,whose,0,人についての追加説明なので who を使う。,2
12,G-PREP2-012,eiken_pre2,関係詞,関係代名詞,非制限用法 / whose / what,関係代名詞は名詞を詳しく説明する。コンマ付きの非制限用法は追加説明、whose は所有、what は『〜すること・もの』を表す。,これは私が探していたものです。,This is what I’ve been looking for.,who/whose/what と制限・非制限用法を区別する。,Q-PREP2-012-03,3,「私は毛が白い犬を見た。」に最も近い英文はどれですか。,I saw a dog whose hair was white.,I saw a dog who hair was white.,I saw a dog what hair was white.,I saw a dog which hair was white.,0,所有を表すので whose を使う。,2
12,G-PREP2-012,eiken_pre2,関係詞,関係代名詞,非制限用法 / whose / what,関係代名詞は名詞を詳しく説明する。コンマ付きの非制限用法は追加説明、whose は所有、what は『〜すること・もの』を表す。,これは私が探していたものです。,This is what I’ve been looking for.,who/whose/what と制限・非制限用法を区別する。,Q-PREP2-012-04,4,空所に入る最も適切なものはどれですか。I don't know _____ he said.,who,whose,what,which place,2,what は『〜すること・もの』を表す。,2
12,G-PREP2-012,eiken_pre2,関係詞,関係代名詞,非制限用法 / whose / what,関係代名詞は名詞を詳しく説明する。コンマ付きの非制限用法は追加説明、whose は所有、what は『〜すること・もの』を表す。,これは私が探していたものです。,This is what I’ve been looking for.,who/whose/what と制限・非制限用法を区別する。,Q-PREP2-012-05,5,"コンマの意味として正しいものはどれですか。He has a friend, who lives in Canada.",カナダに住む友達だけがいるという限定,友達について追加説明している,who は使えない,Canada を強調している,1,コンマ付きの関係代名詞は非制限用法で、追加説明を表す。,2
13,G-PREP2-013,eiken_pre2,関係詞,関係副詞,when / where / why / how,関係副詞は時・場所・理由・方法を説明する。why は the reason を省略でき、how は the way と同じ意味で使う。,私は彼女が欠席した理由を知っている。,I know the reason why she was absent.,先行詞に合わせて when/where/why/how を選べる。,Q-PREP2-013-01,1,「私は彼女が生まれた町を訪れた。」に最も近い英文はどれですか。,I visited the town where she was born.,I visited the town when she was born.,I visited the town why she was born.,I visited the town what she was born.,0,町という場所を説明するので where を使う。,2
13,G-PREP2-013,eiken_pre2,関係詞,関係副詞,when / where / why / how,関係副詞は時・場所・理由・方法を説明する。why は the reason を省略でき、how は the way と同じ意味で使う。,私は彼女が欠席した理由を知っている。,I know the reason why she was absent.,先行詞に合わせて when/where/why/how を選べる。,Q-PREP2-013-02,2,空所に入る最も適切なものはどれですか。He remembered the day _____ they first met.,where,when,why,how,1,day という時を説明するので when。,2
13,G-PREP2-013,eiken_pre2,関係詞,関係副詞,when / where / why / how,関係副詞は時・場所・理由・方法を説明する。why は the reason を省略でき、how は the way と同じ意味で使う。,私は彼女が欠席した理由を知っている。,I know the reason why she was absent.,先行詞に合わせて when/where/why/how を選べる。,Q-PREP2-013-03,3,「私は彼女が欠席した理由を知っている。」に最も近い英文はどれですか。,I know the reason why she was absent.,I know the place where she was absent.,I know the day when she was absent.,I know the way how she was absent.,0,理由を説明するので why。,2
13,G-PREP2-013,eiken_pre2,関係詞,関係副詞,when / where / why / how,関係副詞は時・場所・理由・方法を説明する。why は the reason を省略でき、how は the way と同じ意味で使う。,私は彼女が欠席した理由を知っている。,I know the reason why she was absent.,先行詞に合わせて when/where/why/how を選べる。,Q-PREP2-013-04,4,空所に入る最も適切なものはどれですか。This is _____ I learned English.,where,why,how,when,2,方法を表すので how。,2
13,G-PREP2-013,eiken_pre2,関係詞,関係副詞,when / where / why / how,関係副詞は時・場所・理由・方法を説明する。why は the reason を省略でき、how は the way と同じ意味で使う。,私は彼女が欠席した理由を知っている。,I know the reason why she was absent.,先行詞に合わせて when/where/why/how を選べる。,Q-PREP2-013-05,5,次の英文と同じ意味のものはどれですか。This is how I learned English.,This is the way I learned English.,This is the reason I learned English.,This is the place I learned English.,This is the day I learned English.,0,how は the way と同じように方法を表す。,2
14,G-PREP2-014,eiken_pre2,関係詞,複合関係詞,whoever / whatever / whichever / whenever / wherever,複合関係詞は『〜する人は誰でも』『何が〜であろうとも』『いつ〜しても』などを表す。,参加したい人は誰でも歓迎です。,Whoever wants to join our club is welcome.,複合関係詞の意味を文脈で判断できる。,Q-PREP2-014-01,1,「必要なときはいつでも、それを持って行きなさい。」に最も近い英文はどれですか。,Take it with you whenever you need it.,Take it with you whoever you need it.,Take it with you whatever you need it.,Take it with you whichever you need it.,0,『いつでも』は whenever を使う。,2
14,G-PREP2-014,eiken_pre2,関係詞,複合関係詞,whoever / whatever / whichever / whenever / wherever,複合関係詞は『〜する人は誰でも』『何が〜であろうとも』『いつ〜しても』などを表す。,参加したい人は誰でも歓迎です。,Whoever wants to join our club is welcome.,複合関係詞の意味を文脈で判断できる。,Q-PREP2-014-02,2,空所に入る最も適切なものはどれですか。_____ wants to join our club is welcome.,Whoever,Whenever,Wherever,Whichever,0,『〜する人は誰でも』は Whoever。,2
14,G-PREP2-014,eiken_pre2,関係詞,複合関係詞,whoever / whatever / whichever / whenever / wherever,複合関係詞は『〜する人は誰でも』『何が〜であろうとも』『いつ〜しても』などを表す。,参加したい人は誰でも歓迎です。,Whoever wants to join our club is welcome.,複合関係詞の意味を文脈で判断できる。,Q-PREP2-014-03,3,「あなたは好きなどの席でも取ってよい。」に最も近い英文はどれですか。,You can take whichever seat you like.,You can take whenever seat you like.,You can take wherever seat you like.,You can take whoever seat you like.,0,選択肢の中の『どれでも』は whichever。,2
14,G-PREP2-014,eiken_pre2,関係詞,複合関係詞,whoever / whatever / whichever / whenever / wherever,複合関係詞は『〜する人は誰でも』『何が〜であろうとも』『いつ〜しても』などを表す。,参加したい人は誰でも歓迎です。,Whoever wants to join our club is welcome.,複合関係詞の意味を文脈で判断できる。,Q-PREP2-014-04,4,空所に入る最も適切なものはどれですか。I take my smartphone with me _____ I go.,whoever,wherever,whatever,whichever,1,『どこへ行っても』は wherever。,2
14,G-PREP2-014,eiken_pre2,関係詞,複合関係詞,whoever / whatever / whichever / whenever / wherever,複合関係詞は『〜する人は誰でも』『何が〜であろうとも』『いつ〜しても』などを表す。,参加したい人は誰でも歓迎です。,Whoever wants to join our club is welcome.,複合関係詞の意味を文脈で判断できる。,Q-PREP2-014-05,5,「あなたが何をあげても、彼女は喜ぶでしょう。」に最も近い英文はどれですか。,"Whatever you give, she will be pleased.","Whoever you give, she will be pleased.","Whenever you give, she will be pleased.","Wherever you give, she will be pleased.",0,『何を〜しても』は whatever。,2
15,G-PREP2-015,eiken_pre2,比較,比較の発展表現,"倍数比較 / as ... as possible / less / no more than / the 比較級, the 比較級",比較には倍数、できるだけ、〜ほどではない、だんだん〜、〜すればするほど…などの表現がある。,練習すればするほど、上手になる。,"The more you practice, the better you play.",準2級で出やすい比較表現を使い分ける。,Q-PREP2-015-01,1,「この部屋はあの部屋の3倍の広さです。」に最も近い英文はどれですか。,This room is three times as large as that one.,This room is three large than that one.,This room is as three large as that one.,This room is three times larger as that one.,0,倍数表現は three times as 原級 as を使う。,2
15,G-PREP2-015,eiken_pre2,比較,比較の発展表現,"倍数比較 / as ... as possible / less / no more than / the 比較級, the 比較級",比較には倍数、できるだけ、〜ほどではない、だんだん〜、〜すればするほど…などの表現がある。,練習すればするほど、上手になる。,"The more you practice, the better you play.",準2級で出やすい比較表現を使い分ける。,Q-PREP2-015-02,2,空所に入る最も適切なものはどれですか。I ran as fast as I _____.,can,could,am,was,1,過去の文なので as fast as I could。,2
15,G-PREP2-015,eiken_pre2,比較,比較の発展表現,"倍数比較 / as ... as possible / less / no more than / the 比較級, the 比較級",比較には倍数、できるだけ、〜ほどではない、だんだん〜、〜すればするほど…などの表現がある。,練習すればするほど、上手になる。,"The more you practice, the better you play.",準2級で出やすい比較表現を使い分ける。,Q-PREP2-015-03,3,「この車はあの車ほど高くない。」に最も近い英文はどれですか。,This car is less expensive than that one.,This car is no less expensive than that one.,This car is as expensive as that one.,This car is much expensive than that one.,0,less 原級 than は『〜ほど…ではない』。,2
15,G-PREP2-015,eiken_pre2,比較,比較の発展表現,"倍数比較 / as ... as possible / less / no more than / the 比較級, the 比較級",比較には倍数、できるだけ、〜ほどではない、だんだん〜、〜すればするほど…などの表現がある。,練習すればするほど、上手になる。,"The more you practice, the better you play.",準2級で出やすい比較表現を使い分ける。,Q-PREP2-015-04,4,"空所に入る最も適切なものはどれですか。The more you practice, _____ you play.",the good,the better,better,best,1,"『〜すればするほど…』は the 比較級, the 比較級。",2
15,G-PREP2-015,eiken_pre2,比較,比較の発展表現,"倍数比較 / as ... as possible / less / no more than / the 比較級, the 比較級",比較には倍数、できるだけ、〜ほどではない、だんだん〜、〜すればするほど…などの表現がある。,練習すればするほど、上手になる。,"The more you practice, the better you play.",準2級で出やすい比較表現を使い分ける。,Q-PREP2-015-05,5,「富士山ほど高い山は日本にない。」に最も近い英文はどれですか。,No other mountain in Japan is so high as Mt. Fuji.,No mountain is high Mt. Fuji in Japan.,Mt. Fuji is no high mountain in Japan.,Other mountain is so high as Mt. Fuji.,0,最上級の言い換えは No other 名詞 is so 原級 as ...。,2
16,G-PREP2-016,eiken_pre2,構文,無生物主語,物・事柄を主語にする表現,英語では人ではなく、物や事柄を主語にして『〜させる』『〜へ連れて行く』『〜を思い出させる』などを表すことがある。,この写真を見ると彼女を思い出します。,This picture reminds me of her.,日本語では人を主語にしがちな文を、英語らしい無生物主語で表せる。,Q-PREP2-016-01,1,「何があなたをこの町に来させたのですか。」に最も近い英文はどれですか。,What brought you to this town?,Why brought you to this town?,What did brought you to this town?,What made you came to this town?,0,無生物主語の疑問文では What brought you ...? と表せる。,2
16,G-PREP2-016,eiken_pre2,構文,無生物主語,物・事柄を主語にする表現,英語では人ではなく、物や事柄を主語にして『〜させる』『〜へ連れて行く』『〜を思い出させる』などを表すことがある。,この写真を見ると彼女を思い出します。,This picture reminds me of her.,日本語では人を主語にしがちな文を、英語らしい無生物主語で表せる。,Q-PREP2-016-02,2,空所に入る最も適切なものはどれですか。This street will _____ you to the shop.,take,bring,make,remind,0,道を主語にして『〜へ連れて行く』は take。,2
16,G-PREP2-016,eiken_pre2,構文,無生物主語,物・事柄を主語にする表現,英語では人ではなく、物や事柄を主語にして『〜させる』『〜へ連れて行く』『〜を思い出させる』などを表すことがある。,この写真を見ると彼女を思い出します。,This picture reminds me of her.,日本語では人を主語にしがちな文を、英語らしい無生物主語で表せる。,Q-PREP2-016-03,3,「その歌は私を幸せな気持ちにした。」に最も近い英文はどれですか。,The song made me happy.,The song took me happy.,The song reminded me happy.,The song brought happy to me.,0,物を主語にして make + 人 + 形容詞。,2
16,G-PREP2-016,eiken_pre2,構文,無生物主語,物・事柄を主語にする表現,英語では人ではなく、物や事柄を主語にして『〜させる』『〜へ連れて行く』『〜を思い出させる』などを表すことがある。,この写真を見ると彼女を思い出します。,This picture reminds me of her.,日本語では人を主語にしがちな文を、英語らしい無生物主語で表せる。,Q-PREP2-016-04,4,空所に入る最も適切なものはどれですか。This picture _____ me of her.,takes,reminds,brings,makes,1,remind A of B で『AにBを思い出させる』。,2
16,G-PREP2-016,eiken_pre2,構文,無生物主語,物・事柄を主語にする表現,英語では人ではなく、物や事柄を主語にして『〜させる』『〜へ連れて行く』『〜を思い出させる』などを表すことがある。,この写真を見ると彼女を思い出します。,This picture reminds me of her.,日本語では人を主語にしがちな文を、英語らしい無生物主語で表せる。,Q-PREP2-016-05,5,「この電車は私たちを新宿へ連れて行きます。」に最も近い英文はどれですか。,This train takes us to Shinjuku.,This train makes us to Shinjuku.,This train reminds us to Shinjuku.,This train brings us happy Shinjuku.,0,交通手段を主語にして take 人 to 場所。,2
17,G-PREP2-017,eiken_pre2,構文,強調構文,It is/was ... that ~,文の一部を強調して『〜したのは…だ』と表す。人・物・場所・時などを強調できる。,その店でエイミーを見かけたのはジムだった。,It was Jim that saw Amy at the shop.,強調したい部分を It was ... that の形で表せる。,Q-PREP2-017-01,1,「ジムがエイミーを見かけたのは昨日だった。」に最も近い英文はどれですか。,It was yesterday that Jim saw Amy.,It yesterday was that Jim saw Amy.,Yesterday was it that Jim saw Amy.,It was Jim that yesterday saw Amy.,0,時を強調する場合も It was yesterday that ... の形を使う。,2
17,G-PREP2-017,eiken_pre2,構文,強調構文,It is/was ... that ~,文の一部を強調して『〜したのは…だ』と表す。人・物・場所・時などを強調できる。,その店でエイミーを見かけたのはジムだった。,It was Jim that saw Amy at the shop.,強調したい部分を It was ... that の形で表せる。,Q-PREP2-017-02,2,空所に入る最も適切なものはどれですか。It was Amy _____ Jim saw at the shop.,who,that,where,when,1,強調構文は It was ... that ~。,2
17,G-PREP2-017,eiken_pre2,構文,強調構文,It is/was ... that ~,文の一部を強調して『〜したのは…だ』と表す。人・物・場所・時などを強調できる。,その店でエイミーを見かけたのはジムだった。,It was Jim that saw Amy at the shop.,強調したい部分を It was ... that の形で表せる。,Q-PREP2-017-03,3,「ジムがエイミーを見かけたのはその店だった。」に最も近い英文はどれですか。,It was at the shop that Jim saw Amy.,It was the shop where that Jim saw Amy.,It at the shop was Jim saw Amy.,It was Jim that at the shop saw Amy.,0,場所を強調すると It was at the shop that ...。,2
17,G-PREP2-017,eiken_pre2,構文,強調構文,It is/was ... that ~,文の一部を強調して『〜したのは…だ』と表す。人・物・場所・時などを強調できる。,その店でエイミーを見かけたのはジムだった。,It was Jim that saw Amy at the shop.,強調したい部分を It was ... that の形で表せる。,Q-PREP2-017-04,4,強調されている部分はどれですか。It was Jim that saw Amy at the shop.,Jim,Amy,at the shop,saw,0,It was Jim that ... なので Jim が強調されている。,2
17,G-PREP2-017,eiken_pre2,構文,強調構文,It is/was ... that ~,文の一部を強調して『〜したのは…だ』と表す。人・物・場所・時などを強調できる。,その店でエイミーを見かけたのはジムだった。,It was Jim that saw Amy at the shop.,強調したい部分を It was ... that の形で表せる。,Q-PREP2-017-05,5,強調構文として正しいものはどれですか。,It was yesterday that Jim saw Amy at the shop.,It yesterday was Jim saw Amy at the shop.,Yesterday it was that Jim saw Amy at the shop.,It was saw that Jim yesterday Amy.,0,時を強調する場合も It was yesterday that ... の形。,2
