answer_id,attempt_id,student_id,set_id,question_id,student_answer,correct_option,is_correct,answered_at,review_flag,review_note,weak_point_tag
A001-SET01-Q01,A001,S001,SET01,SET01-Q01,,B,,,,,vocabulary
A001-SET01-Q02,A001,S001,SET01,SET01-Q02,,A,,,,,vocabulary
A001-SET01-Q03,A001,S001,SET01,SET01-Q03,,B,,,,,vocabulary
A001-SET01-Q04,A001,S001,SET01,SET01-Q04,,D,,,,,vocabulary
A001-SET01-Q05,A001,S001,SET01,SET01-Q05,,B,,,,,vocabulary
A001-SET01-Q06,A001,S001,SET01,SET01-Q06,,C,,,,,vocabulary
A001-SET01-Q07,A001,S001,SET01,SET01-Q07,,B,,,,,vocabulary
A001-SET01-Q08,A001,S001,SET01,SET01-Q08,,B,,,,,vocabulary
A001-SET01-Q09,A001,S001,SET01,SET01-Q09,,A,,,,,vocabulary
A001-SET01-Q10,A001,S001,SET01,SET01-Q10,,A,,,,,vocabulary
A001-SET01-Q11,A001,S001,SET01,SET01-Q11,,A,,,,,conversation
A001-SET01-Q12,A001,S001,SET01,SET01-Q12,,D,,,,,conversation
A001-SET01-Q13,A001,S001,SET01,SET01-Q13,,D,,,,,conversation
A001-SET01-Q14,A001,S001,SET01,SET01-Q14,,A,,,,,conversation
A001-SET01-Q15,A001,S001,SET01,SET01-Q15,,D,,,,,conversation
A001-SET01-Q16,A001,S001,SET01,SET01-Q16,,C,,,,,reading
A001-SET01-Q17,A001,S001,SET01,SET01-Q17,,C,,,,,reading
A001-SET01-Q18,A001,S001,SET01,SET01-Q18,,C,,,,,reading
A001-SET01-Q19,A001,S001,SET01,SET01-Q19,,D,,,,,reading
A001-SET01-Q20,A001,S001,SET01,SET01-Q20,,A,,,,,reading
A001-SET01-Q21,A001,S001,SET01,SET01-Q21,,A,,,,,reading
A001-SET01-Q22,A001,S001,SET01,SET01-Q22,,D,,,,,reading
A001-SET01-Q23,A001,S001,SET01,SET01-Q23,,A,,,,,reading
A001-SET01-Q24,A001,S001,SET01,SET01-Q24,,A,,,,,reading
A001-SET01-Q25,A001,S001,SET01,SET01-Q25,,A,,,,,reading
A001-SET01-Q26,A001,S001,SET01,SET01-Q26,,B,,,,,reading
A001-SET01-Q27,A001,S001,SET01,SET01-Q27,,A,,,,,reading
A001-SET01-Q28,A001,S001,SET01,SET01-Q28,,D,,,,,reading
A001-SET01-Q29,A001,S001,SET01,SET01-Q29,,D,,,,,reading
A001-SET01-Q30,A001,S001,SET01,SET01-Q30,,C,,,,,reading
A001-SET02-Q01,A001,S001,SET02,SET02-Q01,,D,,,,,vocabulary
A001-SET02-Q02,A001,S001,SET02,SET02-Q02,,A,,,,,vocabulary
A001-SET02-Q03,A001,S001,SET02,SET02-Q03,,B,,,,,vocabulary
A001-SET02-Q04,A001,S001,SET02,SET02-Q04,,A,,,,,vocabulary
A001-SET02-Q05,A001,S001,SET02,SET02-Q05,,D,,,,,vocabulary
A001-SET02-Q06,A001,S001,SET02,SET02-Q06,,A,,,,,vocabulary
A001-SET02-Q07,A001,S001,SET02,SET02-Q07,,B,,,,,vocabulary
A001-SET02-Q08,A001,S001,SET02,SET02-Q08,,A,,,,,vocabulary
A001-SET02-Q09,A001,S001,SET02,SET02-Q09,,A,,,,,vocabulary
A001-SET02-Q10,A001,S001,SET02,SET02-Q10,,A,,,,,vocabulary
A001-SET02-Q11,A001,S001,SET02,SET02-Q11,,D,,,,,conversation
A001-SET02-Q12,A001,S001,SET02,SET02-Q12,,A,,,,,conversation
A001-SET02-Q13,A001,S001,SET02,SET02-Q13,,A,,,,,conversation
A001-SET02-Q14,A001,S001,SET02,SET02-Q14,,D,,,,,conversation
A001-SET02-Q15,A001,S001,SET02,SET02-Q15,,D,,,,,conversation
A001-SET02-Q16,A001,S001,SET02,SET02-Q16,,A,,,,,reading
A001-SET02-Q17,A001,S001,SET02,SET02-Q17,,D,,,,,reading
A001-SET02-Q18,A001,S001,SET02,SET02-Q18,,D,,,,,reading
A001-SET02-Q19,A001,S001,SET02,SET02-Q19,,D,,,,,reading
A001-SET02-Q20,A001,S001,SET02,SET02-Q20,,C,,,,,reading
A001-SET02-Q21,A001,S001,SET02,SET02-Q21,,D,,,,,reading
A001-SET02-Q22,A001,S001,SET02,SET02-Q22,,B,,,,,reading
A001-SET02-Q23,A001,S001,SET02,SET02-Q23,,D,,,,,reading
A001-SET02-Q24,A001,S001,SET02,SET02-Q24,,A,,,,,reading
A001-SET02-Q25,A001,S001,SET02,SET02-Q25,,B,,,,,reading
A001-SET02-Q26,A001,S001,SET02,SET02-Q26,,A,,,,,reading
A001-SET02-Q27,A001,S001,SET02,SET02-Q27,,A,,,,,reading
A001-SET02-Q28,A001,S001,SET02,SET02-Q28,,D,,,,,reading
A001-SET02-Q29,A001,S001,SET02,SET02-Q29,,A,,,,,reading
A001-SET02-Q30,A001,S001,SET02,SET02-Q30,,C,,,,,reading
A001-SET03-Q01,A001,S001,SET03,SET03-Q01,,B,,,,,vocabulary
A001-SET03-Q02,A001,S001,SET03,SET03-Q02,,B,,,,,vocabulary
A001-SET03-Q03,A001,S001,SET03,SET03-Q03,,C,,,,,vocabulary
A001-SET03-Q04,A001,S001,SET03,SET03-Q04,,D,,,,,vocabulary
A001-SET03-Q05,A001,S001,SET03,SET03-Q05,,A,,,,,vocabulary
A001-SET03-Q06,A001,S001,SET03,SET03-Q06,,C,,,,,vocabulary
A001-SET03-Q07,A001,S001,SET03,SET03-Q07,,D,,,,,vocabulary
A001-SET03-Q08,A001,S001,SET03,SET03-Q08,,A,,,,,vocabulary
A001-SET03-Q09,A001,S001,SET03,SET03-Q09,,C,,,,,vocabulary
A001-SET03-Q10,A001,S001,SET03,SET03-Q10,,D,,,,,vocabulary
A001-SET03-Q11,A001,S001,SET03,SET03-Q11,,A,,,,,conversation
A001-SET03-Q12,A001,S001,SET03,SET03-Q12,,B,,,,,conversation
A001-SET03-Q13,A001,S001,SET03,SET03-Q13,,D,,,,,conversation
A001-SET03-Q14,A001,S001,SET03,SET03-Q14,,B,,,,,conversation
A001-SET03-Q15,A001,S001,SET03,SET03-Q15,,A,,,,,conversation
A001-SET03-Q16,A001,S001,SET03,SET03-Q16,,A,,,,,reading
A001-SET03-Q17,A001,S001,SET03,SET03-Q17,,B,,,,,reading
A001-SET03-Q18,A001,S001,SET03,SET03-Q18,,C,,,,,reading
A001-SET03-Q19,A001,S001,SET03,SET03-Q19,,B,,,,,reading
A001-SET03-Q20,A001,S001,SET03,SET03-Q20,,D,,,,,reading
A001-SET03-Q21,A001,S001,SET03,SET03-Q21,,D,,,,,reading
A001-SET03-Q22,A001,S001,SET03,SET03-Q22,,D,,,,,reading
A001-SET03-Q23,A001,S001,SET03,SET03-Q23,,D,,,,,reading
A001-SET03-Q24,A001,S001,SET03,SET03-Q24,,C,,,,,reading
A001-SET03-Q25,A001,S001,SET03,SET03-Q25,,C,,,,,reading
A001-SET03-Q26,A001,S001,SET03,SET03-Q26,,B,,,,,reading
A001-SET03-Q27,A001,S001,SET03,SET03-Q27,,B,,,,,reading
A001-SET03-Q28,A001,S001,SET03,SET03-Q28,,D,,,,,reading
A001-SET03-Q29,A001,S001,SET03,SET03-Q29,,B,,,,,reading
A001-SET03-Q30,A001,S001,SET03,SET03-Q30,,D,,,,,reading
A001-SET04-Q01,A001,S001,SET04,SET04-Q01,,D,,,,,vocabulary
A001-SET04-Q02,A001,S001,SET04,SET04-Q02,,C,,,,,vocabulary
A001-SET04-Q03,A001,S001,SET04,SET04-Q03,,D,,,,,vocabulary
A001-SET04-Q04,A001,S001,SET04,SET04-Q04,,B,,,,,vocabulary
A001-SET04-Q05,A001,S001,SET04,SET04-Q05,,C,,,,,vocabulary
A001-SET04-Q06,A001,S001,SET04,SET04-Q06,,B,,,,,vocabulary
A001-SET04-Q07,A001,S001,SET04,SET04-Q07,,C,,,,,vocabulary
A001-SET04-Q08,A001,S001,SET04,SET04-Q08,,C,,,,,vocabulary
A001-SET04-Q09,A001,S001,SET04,SET04-Q09,,A,,,,,vocabulary
A001-SET04-Q10,A001,S001,SET04,SET04-Q10,,C,,,,,vocabulary
A001-SET04-Q11,A001,S001,SET04,SET04-Q11,,B,,,,,conversation
A001-SET04-Q12,A001,S001,SET04,SET04-Q12,,C,,,,,conversation
A001-SET04-Q13,A001,S001,SET04,SET04-Q13,,C,,,,,conversation
A001-SET04-Q14,A001,S001,SET04,SET04-Q14,,C,,,,,conversation
A001-SET04-Q15,A001,S001,SET04,SET04-Q15,,C,,,,,conversation
A001-SET04-Q16,A001,S001,SET04,SET04-Q16,,D,,,,,reading
A001-SET04-Q17,A001,S001,SET04,SET04-Q17,,D,,,,,reading
A001-SET04-Q18,A001,S001,SET04,SET04-Q18,,B,,,,,reading
A001-SET04-Q19,A001,S001,SET04,SET04-Q19,,C,,,,,reading
A001-SET04-Q20,A001,S001,SET04,SET04-Q20,,D,,,,,reading
A001-SET04-Q21,A001,S001,SET04,SET04-Q21,,D,,,,,reading
A001-SET04-Q22,A001,S001,SET04,SET04-Q22,,C,,,,,reading
A001-SET04-Q23,A001,S001,SET04,SET04-Q23,,B,,,,,reading
A001-SET04-Q24,A001,S001,SET04,SET04-Q24,,A,,,,,reading
A001-SET04-Q25,A001,S001,SET04,SET04-Q25,,A,,,,,reading
A001-SET04-Q26,A001,S001,SET04,SET04-Q26,,B,,,,,reading
A001-SET04-Q27,A001,S001,SET04,SET04-Q27,,C,,,,,reading
A001-SET04-Q28,A001,S001,SET04,SET04-Q28,,C,,,,,reading
A001-SET04-Q29,A001,S001,SET04,SET04-Q29,,C,,,,,reading
A001-SET04-Q30,A001,S001,SET04,SET04-Q30,,B,,,,,reading
A001-SET05-Q01,A001,S001,SET05,SET05-Q01,,C,,,,,vocabulary
A001-SET05-Q02,A001,S001,SET05,SET05-Q02,,A,,,,,vocabulary
A001-SET05-Q03,A001,S001,SET05,SET05-Q03,,D,,,,,vocabulary
A001-SET05-Q04,A001,S001,SET05,SET05-Q04,,C,,,,,vocabulary
A001-SET05-Q05,A001,S001,SET05,SET05-Q05,,D,,,,,vocabulary
A001-SET05-Q06,A001,S001,SET05,SET05-Q06,,D,,,,,vocabulary
A001-SET05-Q07,A001,S001,SET05,SET05-Q07,,D,,,,,vocabulary
A001-SET05-Q08,A001,S001,SET05,SET05-Q08,,D,,,,,vocabulary
A001-SET05-Q09,A001,S001,SET05,SET05-Q09,,B,,,,,vocabulary
A001-SET05-Q10,A001,S001,SET05,SET05-Q10,,B,,,,,vocabulary
A001-SET05-Q11,A001,S001,SET05,SET05-Q11,,C,,,,,conversation
A001-SET05-Q12,A001,S001,SET05,SET05-Q12,,C,,,,,conversation
A001-SET05-Q13,A001,S001,SET05,SET05-Q13,,B,,,,,conversation
A001-SET05-Q14,A001,S001,SET05,SET05-Q14,,D,,,,,conversation
A001-SET05-Q15,A001,S001,SET05,SET05-Q15,,D,,,,,conversation
A001-SET05-Q16,A001,S001,SET05,SET05-Q16,,C,,,,,reading
A001-SET05-Q17,A001,S001,SET05,SET05-Q17,,B,,,,,reading
A001-SET05-Q18,A001,S001,SET05,SET05-Q18,,C,,,,,reading
A001-SET05-Q19,A001,S001,SET05,SET05-Q19,,D,,,,,reading
A001-SET05-Q20,A001,S001,SET05,SET05-Q20,,A,,,,,reading
A001-SET05-Q21,A001,S001,SET05,SET05-Q21,,B,,,,,reading
A001-SET05-Q22,A001,S001,SET05,SET05-Q22,,A,,,,,reading
A001-SET05-Q23,A001,S001,SET05,SET05-Q23,,A,,,,,reading
A001-SET05-Q24,A001,S001,SET05,SET05-Q24,,D,,,,,reading
A001-SET05-Q25,A001,S001,SET05,SET05-Q25,,D,,,,,reading
A001-SET05-Q26,A001,S001,SET05,SET05-Q26,,B,,,,,reading
A001-SET05-Q27,A001,S001,SET05,SET05-Q27,,B,,,,,reading
A001-SET05-Q28,A001,S001,SET05,SET05-Q28,,A,,,,,reading
A001-SET05-Q29,A001,S001,SET05,SET05-Q29,,B,,,,,reading
A001-SET05-Q30,A001,S001,SET05,SET05-Q30,,A,,,,,reading
A001-SET06-Q01,A001,S001,SET06,SET06-Q01,,B,,,,,vocabulary
A001-SET06-Q02,A001,S001,SET06,SET06-Q02,,A,,,,,vocabulary
A001-SET06-Q03,A001,S001,SET06,SET06-Q03,,C,,,,,vocabulary
A001-SET06-Q04,A001,S001,SET06,SET06-Q04,,A,,,,,vocabulary
A001-SET06-Q05,A001,S001,SET06,SET06-Q05,,B,,,,,vocabulary
A001-SET06-Q06,A001,S001,SET06,SET06-Q06,,C,,,,,vocabulary
A001-SET06-Q07,A001,S001,SET06,SET06-Q07,,D,,,,,vocabulary
A001-SET06-Q08,A001,S001,SET06,SET06-Q08,,D,,,,,vocabulary
A001-SET06-Q09,A001,S001,SET06,SET06-Q09,,B,,,,,vocabulary
A001-SET06-Q10,A001,S001,SET06,SET06-Q10,,D,,,,,vocabulary
A001-SET06-Q11,A001,S001,SET06,SET06-Q11,,C,,,,,conversation
A001-SET06-Q12,A001,S001,SET06,SET06-Q12,,C,,,,,conversation
A001-SET06-Q13,A001,S001,SET06,SET06-Q13,,C,,,,,conversation
A001-SET06-Q14,A001,S001,SET06,SET06-Q14,,D,,,,,conversation
A001-SET06-Q15,A001,S001,SET06,SET06-Q15,,A,,,,,conversation
A001-SET06-Q16,A001,S001,SET06,SET06-Q16,,A,,,,,reading
A001-SET06-Q17,A001,S001,SET06,SET06-Q17,,B,,,,,reading
A001-SET06-Q18,A001,S001,SET06,SET06-Q18,,B,,,,,reading
A001-SET06-Q19,A001,S001,SET06,SET06-Q19,,A,,,,,reading
A001-SET06-Q20,A001,S001,SET06,SET06-Q20,,D,,,,,reading
A001-SET06-Q21,A001,S001,SET06,SET06-Q21,,B,,,,,reading
A001-SET06-Q22,A001,S001,SET06,SET06-Q22,,C,,,,,reading
A001-SET06-Q23,A001,S001,SET06,SET06-Q23,,C,,,,,reading
A001-SET06-Q24,A001,S001,SET06,SET06-Q24,,C,,,,,reading
A001-SET06-Q25,A001,S001,SET06,SET06-Q25,,C,,,,,reading
A001-SET06-Q26,A001,S001,SET06,SET06-Q26,,D,,,,,reading
A001-SET06-Q27,A001,S001,SET06,SET06-Q27,,C,,,,,reading
A001-SET06-Q28,A001,S001,SET06,SET06-Q28,,D,,,,,reading
A001-SET06-Q29,A001,S001,SET06,SET06-Q29,,D,,,,,reading
A001-SET06-Q30,A001,S001,SET06,SET06-Q30,,C,,,,,reading
A001-SET07-Q01,A001,S001,SET07,SET07-Q01,,C,,,,,vocabulary
A001-SET07-Q02,A001,S001,SET07,SET07-Q02,,B,,,,,vocabulary
A001-SET07-Q03,A001,S001,SET07,SET07-Q03,,B,,,,,vocabulary
A001-SET07-Q04,A001,S001,SET07,SET07-Q04,,D,,,,,vocabulary
A001-SET07-Q05,A001,S001,SET07,SET07-Q05,,C,,,,,vocabulary
A001-SET07-Q06,A001,S001,SET07,SET07-Q06,,D,,,,,vocabulary
A001-SET07-Q07,A001,S001,SET07,SET07-Q07,,C,,,,,vocabulary
A001-SET07-Q08,A001,S001,SET07,SET07-Q08,,A,,,,,vocabulary
A001-SET07-Q09,A001,S001,SET07,SET07-Q09,,B,,,,,vocabulary
A001-SET07-Q10,A001,S001,SET07,SET07-Q10,,A,,,,,vocabulary
A001-SET07-Q11,A001,S001,SET07,SET07-Q11,,B,,,,,conversation
A001-SET07-Q12,A001,S001,SET07,SET07-Q12,,C,,,,,conversation
A001-SET07-Q13,A001,S001,SET07,SET07-Q13,,B,,,,,conversation
A001-SET07-Q14,A001,S001,SET07,SET07-Q14,,B,,,,,conversation
A001-SET07-Q15,A001,S001,SET07,SET07-Q15,,C,,,,,conversation
A001-SET07-Q16,A001,S001,SET07,SET07-Q16,,C,,,,,reading
A001-SET07-Q17,A001,S001,SET07,SET07-Q17,,D,,,,,reading
A001-SET07-Q18,A001,S001,SET07,SET07-Q18,,B,,,,,reading
A001-SET07-Q19,A001,S001,SET07,SET07-Q19,,C,,,,,reading
A001-SET07-Q20,A001,S001,SET07,SET07-Q20,,B,,,,,reading
A001-SET07-Q21,A001,S001,SET07,SET07-Q21,,D,,,,,reading
A001-SET07-Q22,A001,S001,SET07,SET07-Q22,,A,,,,,reading
A001-SET07-Q23,A001,S001,SET07,SET07-Q23,,D,,,,,reading
A001-SET07-Q24,A001,S001,SET07,SET07-Q24,,A,,,,,reading
A001-SET07-Q25,A001,S001,SET07,SET07-Q25,,B,,,,,reading
A001-SET07-Q26,A001,S001,SET07,SET07-Q26,,B,,,,,reading
A001-SET07-Q27,A001,S001,SET07,SET07-Q27,,D,,,,,reading
A001-SET07-Q28,A001,S001,SET07,SET07-Q28,,D,,,,,reading
A001-SET07-Q29,A001,S001,SET07,SET07-Q29,,C,,,,,reading
A001-SET07-Q30,A001,S001,SET07,SET07-Q30,,D,,,,,reading
A001-SET08-Q01,A001,S001,SET08,SET08-Q01,,A,,,,,vocabulary
A001-SET08-Q02,A001,S001,SET08,SET08-Q02,,B,,,,,vocabulary
A001-SET08-Q03,A001,S001,SET08,SET08-Q03,,A,,,,,vocabulary
A001-SET08-Q04,A001,S001,SET08,SET08-Q04,,D,,,,,vocabulary
A001-SET08-Q05,A001,S001,SET08,SET08-Q05,,B,,,,,vocabulary
A001-SET08-Q06,A001,S001,SET08,SET08-Q06,,A,,,,,vocabulary
A001-SET08-Q07,A001,S001,SET08,SET08-Q07,,C,,,,,vocabulary
A001-SET08-Q08,A001,S001,SET08,SET08-Q08,,D,,,,,vocabulary
A001-SET08-Q09,A001,S001,SET08,SET08-Q09,,B,,,,,vocabulary
A001-SET08-Q10,A001,S001,SET08,SET08-Q10,,D,,,,,vocabulary
A001-SET08-Q11,A001,S001,SET08,SET08-Q11,,B,,,,,conversation
A001-SET08-Q12,A001,S001,SET08,SET08-Q12,,D,,,,,conversation
A001-SET08-Q13,A001,S001,SET08,SET08-Q13,,C,,,,,conversation
A001-SET08-Q14,A001,S001,SET08,SET08-Q14,,A,,,,,conversation
A001-SET08-Q15,A001,S001,SET08,SET08-Q15,,B,,,,,conversation
A001-SET08-Q16,A001,S001,SET08,SET08-Q16,,A,,,,,reading
A001-SET08-Q17,A001,S001,SET08,SET08-Q17,,D,,,,,reading
A001-SET08-Q18,A001,S001,SET08,SET08-Q18,,B,,,,,reading
A001-SET08-Q19,A001,S001,SET08,SET08-Q19,,D,,,,,reading
A001-SET08-Q20,A001,S001,SET08,SET08-Q20,,D,,,,,reading
A001-SET08-Q21,A001,S001,SET08,SET08-Q21,,B,,,,,reading
A001-SET08-Q22,A001,S001,SET08,SET08-Q22,,A,,,,,reading
A001-SET08-Q23,A001,S001,SET08,SET08-Q23,,B,,,,,reading
A001-SET08-Q24,A001,S001,SET08,SET08-Q24,,B,,,,,reading
A001-SET08-Q25,A001,S001,SET08,SET08-Q25,,C,,,,,reading
A001-SET08-Q26,A001,S001,SET08,SET08-Q26,,C,,,,,reading
A001-SET08-Q27,A001,S001,SET08,SET08-Q27,,C,,,,,reading
A001-SET08-Q28,A001,S001,SET08,SET08-Q28,,B,,,,,reading
A001-SET08-Q29,A001,S001,SET08,SET08-Q29,,B,,,,,reading
A001-SET08-Q30,A001,S001,SET08,SET08-Q30,,B,,,,,reading
A001-SET09-Q01,A001,S001,SET09,SET09-Q01,,B,,,,,vocabulary
A001-SET09-Q02,A001,S001,SET09,SET09-Q02,,B,,,,,vocabulary
A001-SET09-Q03,A001,S001,SET09,SET09-Q03,,A,,,,,vocabulary
A001-SET09-Q04,A001,S001,SET09,SET09-Q04,,D,,,,,vocabulary
A001-SET09-Q05,A001,S001,SET09,SET09-Q05,,A,,,,,vocabulary
A001-SET09-Q06,A001,S001,SET09,SET09-Q06,,C,,,,,vocabulary
A001-SET09-Q07,A001,S001,SET09,SET09-Q07,,B,,,,,vocabulary
A001-SET09-Q08,A001,S001,SET09,SET09-Q08,,C,,,,,vocabulary
A001-SET09-Q09,A001,S001,SET09,SET09-Q09,,B,,,,,vocabulary
A001-SET09-Q10,A001,S001,SET09,SET09-Q10,,C,,,,,vocabulary
A001-SET09-Q11,A001,S001,SET09,SET09-Q11,,B,,,,,conversation
A001-SET09-Q12,A001,S001,SET09,SET09-Q12,,C,,,,,conversation
A001-SET09-Q13,A001,S001,SET09,SET09-Q13,,B,,,,,conversation
A001-SET09-Q14,A001,S001,SET09,SET09-Q14,,A,,,,,conversation
A001-SET09-Q15,A001,S001,SET09,SET09-Q15,,C,,,,,conversation
A001-SET09-Q16,A001,S001,SET09,SET09-Q16,,D,,,,,reading
A001-SET09-Q17,A001,S001,SET09,SET09-Q17,,C,,,,,reading
A001-SET09-Q18,A001,S001,SET09,SET09-Q18,,C,,,,,reading
A001-SET09-Q19,A001,S001,SET09,SET09-Q19,,A,,,,,reading
A001-SET09-Q20,A001,S001,SET09,SET09-Q20,,B,,,,,reading
A001-SET09-Q21,A001,S001,SET09,SET09-Q21,,A,,,,,reading
A001-SET09-Q22,A001,S001,SET09,SET09-Q22,,B,,,,,reading
A001-SET09-Q23,A001,S001,SET09,SET09-Q23,,A,,,,,reading
A001-SET09-Q24,A001,S001,SET09,SET09-Q24,,A,,,,,reading
A001-SET09-Q25,A001,S001,SET09,SET09-Q25,,D,,,,,reading
A001-SET09-Q26,A001,S001,SET09,SET09-Q26,,A,,,,,reading
A001-SET09-Q27,A001,S001,SET09,SET09-Q27,,A,,,,,reading
A001-SET09-Q28,A001,S001,SET09,SET09-Q28,,D,,,,,reading
A001-SET09-Q29,A001,S001,SET09,SET09-Q29,,D,,,,,reading
A001-SET09-Q30,A001,S001,SET09,SET09-Q30,,D,,,,,reading
A001-SET10-Q01,A001,S001,SET10,SET10-Q01,,D,,,,,vocabulary
A001-SET10-Q02,A001,S001,SET10,SET10-Q02,,D,,,,,vocabulary
A001-SET10-Q03,A001,S001,SET10,SET10-Q03,,A,,,,,vocabulary
A001-SET10-Q04,A001,S001,SET10,SET10-Q04,,A,,,,,vocabulary
A001-SET10-Q05,A001,S001,SET10,SET10-Q05,,A,,,,,vocabulary
A001-SET10-Q06,A001,S001,SET10,SET10-Q06,,D,,,,,vocabulary
A001-SET10-Q07,A001,S001,SET10,SET10-Q07,,C,,,,,vocabulary
A001-SET10-Q08,A001,S001,SET10,SET10-Q08,,B,,,,,vocabulary
A001-SET10-Q09,A001,S001,SET10,SET10-Q09,,C,,,,,vocabulary
A001-SET10-Q10,A001,S001,SET10,SET10-Q10,,D,,,,,vocabulary
A001-SET10-Q11,A001,S001,SET10,SET10-Q11,,A,,,,,conversation
A001-SET10-Q12,A001,S001,SET10,SET10-Q12,,B,,,,,conversation
A001-SET10-Q13,A001,S001,SET10,SET10-Q13,,B,,,,,conversation
A001-SET10-Q14,A001,S001,SET10,SET10-Q14,,B,,,,,conversation
A001-SET10-Q15,A001,S001,SET10,SET10-Q15,,A,,,,,conversation
A001-SET10-Q16,A001,S001,SET10,SET10-Q16,,A,,,,,reading
A001-SET10-Q17,A001,S001,SET10,SET10-Q17,,B,,,,,reading
A001-SET10-Q18,A001,S001,SET10,SET10-Q18,,C,,,,,reading
A001-SET10-Q19,A001,S001,SET10,SET10-Q19,,A,,,,,reading
A001-SET10-Q20,A001,S001,SET10,SET10-Q20,,D,,,,,reading
A001-SET10-Q21,A001,S001,SET10,SET10-Q21,,C,,,,,reading
A001-SET10-Q22,A001,S001,SET10,SET10-Q22,,C,,,,,reading
A001-SET10-Q23,A001,S001,SET10,SET10-Q23,,D,,,,,reading
A001-SET10-Q24,A001,S001,SET10,SET10-Q24,,C,,,,,reading
A001-SET10-Q25,A001,S001,SET10,SET10-Q25,,D,,,,,reading
A001-SET10-Q26,A001,S001,SET10,SET10-Q26,,D,,,,,reading
A001-SET10-Q27,A001,S001,SET10,SET10-Q27,,C,,,,,reading
A001-SET10-Q28,A001,S001,SET10,SET10-Q28,,B,,,,,reading
A001-SET10-Q29,A001,S001,SET10,SET10-Q29,,B,,,,,reading
A001-SET10-Q30,A001,S001,SET10,SET10-Q30,,A,,,,,reading
