id,word,level,frequency,part_of_speech,meaning_ja,meaning_cn,phrase,example_en,example_ja,example_cn,synonym
1051,right now,eiken3,1051,熟語,ちょうど今；すぐに,现在；马上,right now,I'm afraid she can't get to the phone right now.,申し訳ありませんが、彼女は今電話に出られません。,不好意思，她现在不能接电话。,
1052,run away,eiken3,1052,熟語,逃げ去る；走り去る,逃走,run away,The cat ran away from the room.,猫は部屋から逃げ出しました。,猫从房间里跑掉了。,
1053,save money,eiken3,1053,熟語,貯金する,存钱,save money,Jane is working after school to save money.,ジェーンはお金を貯めるために放課後働いています。,简放学后工作是为了存钱。,
1054,say hello to ~,eiken3,1054,熟語,〜によろしく伝える,向……问好,say hello to your grandmother,Please say hello to your grandmother for me.,おばあさんによろしく伝えてください。,请代我向你奶奶问好。,
1055,shake hands with ~,eiken3,1055,熟語,〜と握手する,和……握手,shake hands with the coach,You can shake hands with the members of the band.,バンドのメンバーと握手できます。,你可以和乐队成员握手。,
1056,shout at ~,eiken3,1056,熟語,〜に叫ぶ,对……大喊,shout at his son,"He shouted at his son, “Watch out!”",彼は息子に「危ない」と叫びました。,他对儿子喊：“小心！”,
1057,show A how to do,eiken3,1057,熟語,Aに〜のやり方を教える,教A如何做……,show me how to use,Can you show me how to use this machine?,この機械の使い方を教えてくれますか。,你能教我怎么用这台机器吗？,
1058,so ~ that ...,eiken3,1058,熟語,とても〜なので…,如此……以至于……,so tired that,We were so tired that we went to bed early.,私たちはとても疲れていたので早く寝ました。,我们太累了，所以早早睡了。,
1059,something to do,eiken3,1059,熟語,何か〜するもの,要做的事；某物去做,something to read,I want to get something to read on the train.,電車の中で読むものを買いたいです。,我想买点在火车上读的东西。,
1060,something (形容詞),eiken3,1060,熟語,何か〜なもの,某个……的东西,something special,Let's make something special for dinner.,夕食に何か特別なものを作りましょう。,我们晚饭做点特别的东西吧。,
1061,spend A on ~,eiken3,1061,熟語,A(時間・お金)を～に費やす,把A花在~上,spend A on ~,"I use ""spend A on ~"" in a simple sentence.",私は「spend A on ~」を使った簡単な文を勉強しました。,我学习了包含“spend A on ~”的简单句子。,
1062,stay home,eiken3,1062,熟語,家にいる,待在家,stay home,"I use ""stay home"" in a simple sentence.",私は「stay home」を使った簡単な文を勉強しました。,我学习了包含“stay home”的简单句子。,
1063,stay up late,eiken3,1063,熟語,夜更かしする,熬夜,stay up late,"I use ""stay up late"" in a simple sentence.",私は「stay up late」を使った簡単な文を勉強しました。,我学习了包含“stay up late”的简单句子。,
1064,such a ~,eiken3,1064,熟語,そのような～,那样的~,such a ~,"I use ""such a ~"" in a simple sentence.",私は「such a ~」を使った簡単な文を勉強しました。,我学习了包含“such a ~”的简单句子。,
1065,take A to B,eiken3,1065,熟語,AをBに連れて行く,带A去B,take A to B,"I use ""take A to B"" in a simple sentence.",私は「take A to B」を使った簡単な文を勉強しました。,我学习了包含“take A to B”的简单句子。,
1066,take a picture,eiken3,1066,熟語,写真を撮る,拍照,take a picture,"I use ""take a picture"" in a simple sentence.",私は「take a picture」を使った簡単な文を勉強しました。,我学习了包含“take a picture”的简单句子。,
1067,take care of ~,eiken3,1067,熟語,～の世話をする,照顾,take care of ~,"I use ""take care of ~"" in a simple sentence.",私は「take care of ~」を使った簡単な文を勉強しました。,我学习了包含“take care of ~”的简单句子。,
1068,take lessons,eiken3,1068,熟語,レッスンを受ける,上课,take lessons,"I use ""take lessons"" in a simple sentence.",私は「take lessons」を使った簡単な文を勉強しました。,我学习了包含“take lessons”的简单句子。,
1069,take off,eiken3,1069,熟語,離陸する,起飞,take off,"I use ""take off"" in a simple sentence.",私は「take off」を使った簡単な文を勉強しました。,我学习了包含“take off”的简单句子。,
1070,take off ~,eiken3,1070,熟語,～を脱ぐ,脱下,take off ~,"I use ""take off ~"" in a simple sentence.",私は「take off ~」を使った簡単な文を勉強しました。,我学习了包含“take off ~”的简单句子。,
1071,take part in ~,eiken3,1071,熟語,～に参加する,参加,take part in ~,"I use ""take part in ~"" in a simple sentence.",私は「take part in ~」を使った簡単な文を勉強しました。,我学习了包含“take part in ~”的简单句子。,
1072,talk on the phone,eiken3,1072,熟語,電話で話す,打电话,talk on the phone,"I use ""talk on the phone"" in a simple sentence.",私は「talk on the phone」を使った簡単な文を勉強しました。,我学习了包含“talk on the phone”的简单句子。,
1073,tell A how to do,eiken3,1073,熟語,Aに～のやり方を教える,告诉A如何做,tell A how to do,"I use ""tell A how to do"" in a simple sentence.",私は「tell A how to do」を使った簡単な文を勉強しました。,我学习了包含“tell A how to do”的简单句子。,
1074,tell A to do,eiken3,1074,熟語,Aに～するように言う,叫A做,tell A to do,"I use ""tell A to do"" in a simple sentence.",私は「tell A to do」を使った簡単な文を勉強しました。,我学习了包含“tell A to do”的简单句子。,
1075,than usual,eiken3,1075,熟語,いつもより,比平时,than usual,"I use ""than usual"" in a simple sentence.",私は「than usual」を使った簡単な文を勉強しました。,我学习了包含“than usual”的简单句子。,
1076,the other day,eiken3,1076,熟語,先日,前几天,the other day,"I use ""the other day"" in a simple sentence.",私は「the other day」を使った簡単な文を勉強しました。,我学习了包含“the other day”的简单句子。,
1077,walk along ~,eiken3,1077,熟語,～に沿って歩く,沿着,walk along ~,"I use ""walk along ~"" in a simple sentence.",私は「walk along ~」を使った簡単な文を勉強しました。,我学习了包含“walk along ~”的简单句子。,
1078,want A to do,eiken3,1078,熟語,Aに～してもらいたい,想让A做,want A to do,"I use ""want A to do"" in a simple sentence.",私は「want A to do」を使った簡単な文を勉強しました。,我学习了包含“want A to do”的简单句子。,
1079,want to be,eiken3,1079,熟語,～になりたい,想成为,want to be,"I use ""want to be"" in a simple sentence.",私は「want to be」を使った簡単な文を勉強しました。,我学习了包含“want to be”的简单句子。,
1080,what to do,eiken3,1080,熟語,何をすべきか,该做什么,what to do,"I use ""what to do"" in a simple sentence.",私は「what to do」を使った簡単な文を勉強しました。,我学习了包含“what to do”的简单句子。,
1081,when to do,eiken3,1081,熟語,いつ～するか,何时做,when to do,"I use ""when to do"" in a simple sentence.",私は「when to do」を使った簡単な文を勉強しました。,我学习了包含“when to do”的简单句子。,
1082,where to do,eiken3,1082,熟語,どこで～するか,在哪里做,where to do,"I use ""where to do"" in a simple sentence.",私は「where to do」を使った簡単な文を勉強しました。,我学习了包含“where to do”的简单句子。,
1083,work well,eiken3,1083,熟語,うまくいく,顺利进行,work well,"I use ""work well"" in a simple sentence.",私は「work well」を使った簡単な文を勉強しました。,我学习了包含“work well”的简单句子。,
1084,~ years old,eiken3,1084,熟語,～歳,~岁,~ years old,"I use ""~ years old"" in a simple sentence.",私は「~ years old」を使った簡単な文を勉強しました。,我学习了包含“~ years old”的简单句子。,
1085,think about doing,eiken3,1085,熟語,～することについて考える,考虑做,think about doing,"I use ""think about doing"" in a simple sentence.",私は「think about doing」を使った簡単な文を勉強しました。,我学习了包含“think about doing”的简单句子。,
1086,think of ~,eiken3,1086,熟語,～のことを考える,想起,think of ~,"I use ""think of ~"" in a simple sentence.",私は「think of ~」を使った簡単な文を勉強しました。,我学习了包含“think of ~”的简单句子。,
1087,this morning,eiken3,1087,熟語,今朝,今天早上,this morning,"I use ""this morning"" in a simple sentence.",私は「this morning」を使った簡単な文を勉強しました。,我学习了包含“this morning”的简单句子。,
1088,throw away ~,eiken3,1088,熟語,～を捨てる,扔掉,throw away ~,"I use ""throw away ~"" in a simple sentence.",私は「throw away ~」を使った簡単な文を勉強しました。,我学习了包含“throw away ~”的简单句子。,
1089,too ... to do,eiken3,1089,熟語,あまりに～で…できない,太...而不能,too ... to do,"I use ""too ... to do"" in a simple sentence.",私は「too ... to do」を使った簡単な文を勉強しました。,我学习了包含“too ... to do”的简单句子。,
1090,travel to ~,eiken3,1090,熟語,～へ旅行する,去旅行,travel to ~,"I use ""travel to ~"" in a simple sentence.",私は「travel to ~」を使った簡単な文を勉強しました。,我学习了包含“travel to ~”的简单句子。,
1091,try on ~,eiken3,1091,熟語,試着する,试穿,try on ~,"I use ""try on ~"" in a simple sentence.",私は「try on ~」を使った簡単な文を勉強しました。,我学习了包含“try on ~”的简单句子。,
1092,turn down ~,eiken3,1092,熟語,音量を下げる,调低,turn down ~,"I use ""turn down ~"" in a simple sentence.",私は「turn down ~」を使った簡単な文を勉強しました。,我学习了包含“turn down ~”的简单句子。,
1093,turn left,eiken3,1093,熟語,左に曲がる,左转,turn left,"I use ""turn left"" in a simple sentence.",私は「turn left」を使った簡単な文を勉強しました。,我学习了包含“turn left”的简单句子。,
1094,turn off ~,eiken3,1094,熟語,～を消す,关闭,turn off ~,"I use ""turn off ~"" in a simple sentence.",私は「turn off ~」を使った簡単な文を勉強しました。,我学习了包含“turn off ~”的简单句子。,
1095,turn on ~,eiken3,1095,熟語,～をつける,打开,turn on ~,"I use ""turn on ~"" in a simple sentence.",私は「turn on ~」を使った簡単な文を勉強しました。,我学习了包含“turn on ~”的简单句子。,
1096,turn up ~,eiken3,1096,熟語,音量を上げる,调高,turn up ~,"I use ""turn up ~"" in a simple sentence.",私は「turn up ~」を使った簡単な文を勉強しました。,我学习了包含“turn up ~”的简单句子。,
1097,twice a month,eiken3,1097,熟語,月に2回,每月两次,twice a month,"I use ""twice a month"" in a simple sentence.",私は「twice a month」を使った簡単な文を勉強しました。,我学习了包含“twice a month”的简单句子。,
1098,visit A in the hospital,eiken3,1098,熟語,病院のAを見舞う,探望病人,visit A in the hospital,"I use ""visit A in the hospital"" in a simple sentence.",私は「visit A in the hospital」を使った簡単な文を勉強しました。,我学习了包含“visit A in the hospital”的简单句子。,
1099,wait for ~,eiken3,1099,熟語,～を待つ,等待,wait for ~,"I use ""wait for ~"" in a simple sentence.",私は「wait for ~」を使った簡単な文を勉強しました。,我学习了包含“wait for ~”的简单句子。,
1100,wake up,eiken3,1100,熟語,目を覚ます,醒来,wake up,"I use ""wake up"" in a simple sentence.",私は「wake up」を使った簡単な文を勉強しました。,我学习了包含“wake up”的简单句子。,
1101,a couple of ~,eiken3,1101,熟語,"2,3の～",几个,a couple of ~,"I use ""a couple of ~"" in a simple sentence.",私は「a couple of ~」を使った簡単な文を勉強しました。,我学习了包含“a couple of ~”的简单句子。,
1102,a friend of mine,eiken3,1102,熟語,私の友人の一人,我的一个朋友,a friend of mine,"I use ""a friend of mine"" in a simple sentence.",私は「a friend of mine」を使った簡単な文を勉強しました。,我学习了包含“a friend of mine”的简单句子。,
1103,a number of ~,eiken3,1103,熟語,多くの～,许多,a number of ~,"I use ""a number of ~"" in a simple sentence.",私は「a number of ~」を使った簡単な文を勉強しました。,我学习了包含“a number of ~”的简单句子。,
1104,a part of ~,eiken3,1104,熟語,～の一部,一部分,a part of ~,"I use ""a part of ~"" in a simple sentence.",私は「a part of ~」を使った簡単な文を勉強しました。,我学习了包含“a part of ~”的简单句子。,
1105,all day,eiken3,1105,熟語,一日中,整天,all day,"I use ""all day"" in a simple sentence.",私は「all day」を使った簡単な文を勉強しました。,我学习了包含“all day”的简单句子。,
1106,all night,eiken3,1106,熟語,一晩中,整晚,all night,"I use ""all night"" in a simple sentence.",私は「all night」を使った簡単な文を勉強しました。,我学习了包含“all night”的简单句子。,
1107,all the time,eiken3,1107,熟語,いつも,一直,all the time,"I use ""all the time"" in a simple sentence.",私は「all the time」を使った簡単な文を勉強しました。,我学习了包含“all the time”的简单句子。,
1108,all the way,eiken3,1108,熟語,はるばる,一路,all the way,"I use ""all the way"" in a simple sentence.",私は「all the way」を使った簡単な文を勉強しました。,我学习了包含“all the way”的简单句子。,
1109,and so on,eiken3,1109,熟語,など,等等,and so on,"I use ""and so on"" in a simple sentence.",私は「and so on」を使った簡単な文を勉強しました。,我学习了包含“and so on”的简单句子。,
1110,another minute,eiken3,1110,熟語,あと1分,再一分钟,another minute,"I use ""another minute"" in a simple sentence.",私は「another minute」を使った簡単な文を勉強しました。,我学习了包含“another minute”的简单句子。,
1111,as many as,eiken3,1111,熟語,～ほど多くの,多达,as many as,"I use ""as many as"" in a simple sentence.",私は「as many as」を使った簡単な文を勉強しました。,我学习了包含“as many as”的简单句子。,
1112,as much as I can,eiken3,1112,熟語,できるだけ,尽可能,as much as I can,"I use ""as much as I can"" in a simple sentence.",私は「as much as I can」を使った簡単な文を勉強しました。,我学习了包含“as much as I can”的简单句子。,
1113,as much as possible,eiken3,1113,熟語,できるだけたくさん,尽可能多,as much as possible,"I use ""as much as possible"" in a simple sentence.",私は「as much as possible」を使った簡単な文を勉強しました。,我学习了包含“as much as possible”的简单句子。,
1114,as soon as,eiken3,1114,熟語,～するとすぐに,一...就,as soon as,"I use ""as soon as"" in a simple sentence.",私は「as soon as」を使った簡単な文を勉強しました。,我学习了包含“as soon as”的简单句子。,
1115,as well as,eiken3,1115,熟語,～だけでなく,以及,as well as,"I use ""as well as"" in a simple sentence.",私は「as well as」を使った簡単な文を勉強しました。,我学习了包含“as well as”的简单句子。,
1116,as you know,eiken3,1116,熟語,ご存じのように,如你所知,as you know,"I use ""as you know"" in a simple sentence.",私は「as you know」を使った簡単な文を勉強しました。,我学习了包含“as you know”的简单句子。,
1117,be known to,eiken3,1117,熟語,～に知られている,为...所知,be known to,"I use ""be known to"" in a simple sentence.",私は「be known to」を使った簡単な文を勉強しました。,我学习了包含“be known to”的简单句子。,
1118,be over,eiken3,1118,熟語,終わる,结束,be over,"I use ""be over"" in a simple sentence.",私は「be over」を使った簡単な文を勉強しました。,我学习了包含“be over”的简单句子。,
1119,be pleased to do,eiken3,1119,熟語,～してうれしい,高兴做,be pleased to do,"I use ""be pleased to do"" in a simple sentence.",私は「be pleased to do」を使った簡単な文を勉強しました。,我学习了包含“be pleased to do”的简单句子。,
1120,be satisfied with,eiken3,1120,熟語,～に満足している,对...满意,be satisfied with,"I use ""be satisfied with"" in a simple sentence.",私は「be satisfied with」を使った簡単な文を勉強しました。,我学习了包含“be satisfied with”的简单句子。,
1121,be scared of,eiken3,1121,熟語,～を恐れる,害怕,be scared of,"I use ""be scared of"" in a simple sentence.",私は「be scared of」を使った簡単な文を勉強しました。,我学习了包含“be scared of”的简单句子。,
1122,be sick in bed,eiken3,1122,熟語,病気で寝ている,卧病在床,be sick in bed,"I use ""be sick in bed"" in a simple sentence.",私は「be sick in bed」を使った簡単な文を勉強しました。,我学习了包含“be sick in bed”的简单句子。,
1123,be similar to,eiken3,1123,熟語,～に似ている,类似,be similar to,"I use ""be similar to"" in a simple sentence.",私は「be similar to」を使った簡単な文を勉強しました。,我学习了包含“be similar to”的简单句子。,
1124,be surprised to do,eiken3,1124,熟語,～して驚く,惊讶做,be surprised to do,"I use ""be surprised to do"" in a simple sentence.",私は「be surprised to do」を使った簡単な文を勉強しました。,我学习了包含“be surprised to do”的简单句子。,
1125,be tired from,eiken3,1125,熟語,～で疲れている,因...疲劳,be tired from,"I use ""be tired from"" in a simple sentence.",私は「be tired from」を使った簡単な文を勉強しました。,我学习了包含“be tired from”的简单句子。,
1126,be tired of doing,eiken3,1126,熟語,～することに飽きる,厌倦做,be tired of doing,"I use ""be tired of doing"" in a simple sentence.",私は「be tired of doing」を使った簡単な文を勉強しました。,我学习了包含“be tired of doing”的简单句子。,
1127,because of,eiken3,1127,熟語,～のために,因为,because of,"I use ""because of"" in a simple sentence.",私は「because of」を使った簡単な文を勉強しました。,我学习了包含“because of”的简单句子。,
1128,belong to,eiken3,1128,熟語,～に属する,属于,belong to,"I use ""belong to"" in a simple sentence.",私は「belong to」を使った簡単な文を勉強しました。,我学习了包含“belong to”的简单句子。,
1129,brush one’s teeth,eiken3,1129,熟語,歯をみがく,刷牙,brush one’s teeth,"I use ""brush one’s teeth"" in a simple sentence.",私は「brush one’s teeth」を使った簡単な文を勉強しました。,我学习了包含“brush one’s teeth”的简单句子。,
1130,by the way,eiken3,1130,熟語,ところで,顺便说,by the way,"I use ""by the way"" in a simple sentence.",私は「by the way」を使った簡単な文を勉強しました。,我学习了包含“by the way”的简单句子。,
1131,call A back,eiken3,1131,熟語,Aに折り返し電話する,回电,call A back,"I use ""call A back"" in a simple sentence.",私は「call A back」を使った簡単な文を勉強しました。,我学习了包含“call A back”的简单句子。,
1132,care about,eiken3,1132,熟語,～を気にかける,关心,care about,"I use ""care about"" in a simple sentence.",私は「care about」を使った簡単な文を勉強しました。,我学习了包含“care about”的简单句子。,
1133,catch a cold,eiken3,1133,熟語,風邪をひく,感冒,catch a cold,"I use ""catch a cold"" in a simple sentence.",私は「catch a cold」を使った簡単な文を勉強しました。,我学习了包含“catch a cold”的简单句子。,
1134,change trains,eiken3,1134,熟語,電車を乗り換える,换乘,change trains,"I use ""change trains"" in a simple sentence.",私は「change trains」を使った簡単な文を勉強しました。,我学习了包含“change trains”的简单句子。,
1135,cheer up,eiken3,1135,熟語,～を元気づける,鼓励,cheer up,"I use ""cheer up"" in a simple sentence.",私は「cheer up」を使った簡単な文を勉強しました。,我学习了包含“cheer up”的简单句子。,
1136,day after day,eiken3,1136,熟語,毎日毎日,日复一日,day after day,"I use ""day after day"" in a simple sentence.",私は「day after day」を使った簡単な文を勉強しました。,我学习了包含“day after day”的简单句子。,
1137,day and night,eiken3,1137,熟語,昼も夜も,日日夜夜,day and night,"I use ""day and night"" in a simple sentence.",私は「day and night」を使った簡単な文を勉強しました。,我学习了包含“day and night”的简单句子。,
1138,depend on,eiken3,1138,熟語,～次第である,取决于,depend on,"I use ""depend on"" in a simple sentence.",私は「depend on」を使った簡単な文を勉強しました。,我学习了包含“depend on”的简单句子。,
1139,die of,eiken3,1139,熟語,～で死ぬ,死于,die of,"I use ""die of"" in a simple sentence.",私は「die of」を使った簡単な文を勉強しました。,我学习了包含“die of”的简单句子。,
1140,drive A home,eiken3,1140,熟語,Aを車で家まで送る,开车送回家,drive A home,"I use ""drive A home"" in a simple sentence.",私は「drive A home」を使った簡単な文を勉強しました。,我学习了包含“drive A home”的简单句子。,
1141,either A or B,eiken3,1141,熟語,AかBのどちらか,要么A要么B,either A or B,"I use ""either A or B"" in a simple sentence.",私は「either A or B」を使った簡単な文を勉強しました。,我学习了包含“either A or B”的简单句子。,
1142,enjoy oneself,eiken3,1142,熟語,楽しむ,玩得开心,enjoy oneself,"I use ""enjoy oneself"" in a simple sentence.",私は「enjoy oneself」を使った簡単な文を勉強しました。,我学习了包含“enjoy oneself”的简单句子。,
1143,even if,eiken3,1143,熟語,たとえ～でも,即使,even if,"I use ""even if"" in a simple sentence.",私は「even if」を使った簡単な文を勉強しました。,我学习了包含“even if”的简单句子。,
1144,every other day,eiken3,1144,熟語,1日おきに,每隔一天,every other day,"I use ""every other day"" in a simple sentence.",私は「every other day」を使った簡単な文を勉強しました。,我学习了包含“every other day”的简单句子。,
1145,fall asleep,eiken3,1145,熟語,眠りに落ちる,睡着,fall asleep,"I use ""fall asleep"" in a simple sentence.",私は「fall asleep」を使った簡単な文を勉強しました。,我学习了包含“fall asleep”的简单句子。,
1146,fall in love with,eiken3,1146,熟語,～に恋する,爱上,fall in love with,"I use ""fall in love with"" in a simple sentence.",私は「fall in love with」を使った簡単な文を勉強しました。,我学习了包含“fall in love with”的简单句子。,
1147,at a time,eiken3,1147,熟語,一度に,一次,at a time,"I use ""at a time"" in a simple sentence.",私は「at a time」を使った簡単な文を勉強しました。,我学习了包含“at a time”的简单句子。,
1148,at least,eiken3,1148,熟語,少なくとも,至少,at least,"I use ""at least"" in a simple sentence.",私は「at least」を使った簡単な文を勉強しました。,我学习了包含“at least”的简单句子。,
1149,at the age of,eiken3,1149,熟語,～歳のときに,在...岁时,at the age of,"I use ""at the age of"" in a simple sentence.",私は「at the age of」を使った簡単な文を勉強しました。,我学习了包含“at the age of”的简单句子。,
1150,at the foot of,eiken3,1150,熟語,～のふもとに,在山脚下,at the foot of,"I use ""at the foot of"" in a simple sentence.",私は「at the foot of」を使った簡単な文を勉強しました。,我学习了包含“at the foot of”的简单句子。,
1151,be afraid of,eiken3,1151,熟語,～を恐れる,害怕,be afraid of,"I use ""be afraid of"" in a simple sentence.",私は「be afraid of」を使った簡単な文を勉強しました。,我学习了包含“be afraid of”的简单句子。,
1152,be at home,eiken3,1152,熟語,家にいる,在家,be at home,"I use ""be at home"" in a simple sentence.",私は「be at home」を使った簡単な文を勉強しました。,我学习了包含“be at home”的简单句子。,
1153,be back,eiken3,1153,熟語,戻る,回来,be back,"I use ""be back"" in a simple sentence.",私は「be back」を使った簡単な文を勉強しました。,我学习了包含“be back”的简单句子。,
1154,be busy with,eiken3,1154,熟語,～で忙しい,忙于,be busy with,"I use ""be busy with"" in a simple sentence.",私は「be busy with」を使った簡単な文を勉強しました。,我学习了包含“be busy with”的简单句子。,
1155,be careful about,eiken3,1155,熟語,～に気をつける,注意,be careful about,"I use ""be careful about"" in a simple sentence.",私は「be careful about」を使った簡単な文を勉強しました。,我学习了包含“be careful about”的简单句子。,
1156,be close to,eiken3,1156,熟語,～に近い,接近,be close to,"I use ""be close to"" in a simple sentence.",私は「be close to」を使った簡単な文を勉強しました。,我学习了包含“be close to”的简单句子。,
1157,be familiar with,eiken3,1157,熟語,～をよく知っている,熟悉,be familiar with,"I use ""be familiar with"" in a simple sentence.",私は「be familiar with」を使った簡単な文を勉強しました。,我学习了包含“be familiar with”的简单句子。,
1158,be filled with,eiken3,1158,熟語,～でいっぱいである,充满,be filled with,"I use ""be filled with"" in a simple sentence.",私は「be filled with」を使った簡単な文を勉強しました。,我学习了包含“be filled with”的简单句子。,
1159,be fond of,eiken3,1159,熟語,～が好きだ,喜欢,be fond of,"I use ""be fond of"" in a simple sentence.",私は「be fond of」を使った簡単な文を勉強しました。,我学习了包含“be fond of”的简单句子。,
1160,be known as,eiken3,1160,熟語,～として知られている,被称为,be known as,"I use ""be known as"" in a simple sentence.",私は「be known as」を使った簡単な文を勉強しました。,我学习了包含“be known as”的简单句子。,
1161,get angry,eiken3,1161,熟語,生气,生气,get angry,"I use ""get angry"" in a simple sentence.",私は「get angry」を使った簡単な文を勉強しました。,我学习了包含“get angry”的简单句子。,
1162,get away from,eiken3,1162,熟語,～から離れる,远离,get away from,"I use ""get away from"" in a simple sentence.",私は「get away from」を使った簡単な文を勉強しました。,我学习了包含“get away from”的简单句子。,
1163,get back,eiken3,1163,熟語,戻る,回来,get back,"I use ""get back"" in a simple sentence.",私は「get back」を使った簡単な文を勉強しました。,我学习了包含“get back”的简单句子。,
1164,get better,eiken3,1164,熟語,好转する,变好,get better,"I use ""get better"" in a simple sentence.",私は「get better」を使った簡単な文を勉強しました。,我学习了包含“get better”的简单句子。,
1165,get excited,eiken3,1165,熟語,興奮する,兴奋,get excited,"I use ""get excited"" in a simple sentence.",私は「get excited」を使った簡単な文を勉強しました。,我学习了包含“get excited”的简单句子。,
1166,get in,eiken3,1166,熟語,乗り込む,上车,get in,"I use ""get in"" in a simple sentence.",私は「get in」を使った簡単な文を勉強しました。,我学习了包含“get in”的简单句子。,
1167,get out of,eiken3,1167,熟語,～から出る,出去,get out of,"I use ""get out of"" in a simple sentence.",私は「get out of」を使った簡単な文を勉強しました。,我学习了包含“get out of”的简单句子。,
1168,get well,eiken3,1168,熟語,元気になる,康复,get well,"I use ""get well"" in a simple sentence.",私は「get well」を使った簡単な文を勉強しました。,我学习了包含“get well”的简单句子。,
1169,give back,eiken3,1169,熟語,～を返す,归还,give back,"I use ""give back"" in a simple sentence.",私は「give back」を使った簡単な文を勉強しました。,我学习了包含“give back”的简单句子。,
1170,give up doing,eiken3,1170,熟語,～することをやめる,放弃做,give up doing,"I use ""give up doing"" in a simple sentence.",私は「give up doing」を使った簡単な文を勉強しました。,我学习了包含“give up doing”的简单句子。,
1171,go abroad,eiken3,1171,熟語,海外に行く,出国,go abroad,"I use ""go abroad"" in a simple sentence.",私は「go abroad」を使った簡単な文を勉強しました。,我学习了包含“go abroad”的简单句子。,
