id,word,level,frequency,part_of_speech,meaning_ja,meaning_cn,phrase,example_en,example_ja,example_cn,synonym
1172,go away,eiken3,1172,熟語,立ち去る,离开,go away,"I use ""go away"" in a simple sentence.",私は「go away」を使った簡単な文を勉強しました。,我学习了包含“go away”的简单句子。,
1173,go by,eiken3,1173,熟語,(時間が)過ぎる,过去,go by,"I use ""go by"" in a simple sentence.",私は「go by」を使った簡単な文を勉強しました。,我学习了包含“go by”的简单句子。,
1174,go into,eiken3,1174,熟語,～に入る,进入,go into,"I use ""go into"" in a simple sentence.",私は「go into」を使った簡単な文を勉強しました。,我学习了包含“go into”的简单句子。,
1175,go to sleep,eiken3,1175,熟語,眠る,入睡,go to sleep,"I use ""go to sleep"" in a simple sentence.",私は「go to sleep」を使った簡単な文を勉強しました。,我学习了包含“go to sleep”的简单句子。,
1176,had better do,eiken3,1176,熟語,～したほうがよい,最好,had better do,"I use ""had better do"" in a simple sentence.",私は「had better do」を使った簡単な文を勉強しました。,我学习了包含“had better do”的简单句子。,
1177,happen to do,eiken3,1177,熟語,たまたま～する,碰巧,happen to do,"I use ""happen to do"" in a simple sentence.",私は「happen to do」を使った簡単な文を勉強しました。,我学习了包含“happen to do”的简单句子。,
1178,have a baby,eiken3,1178,熟語,赤ちゃんを産む,生孩子,have a baby,"I use ""have a baby"" in a simple sentence.",私は「have a baby」を使った簡単な文を勉強しました。,我学习了包含“have a baby”的简单句子。,
1179,have a dream,eiken3,1179,熟語,夢を持つ,有梦想,have a dream,"I use ""have a dream"" in a simple sentence.",私は「have a dream」を使った簡単な文を勉強しました。,我学习了包含“have a dream”的简单句子。,
1180,have a fight,eiken3,1180,熟語,けんかをする,吵架,have a fight,"I use ""have a fight"" in a simple sentence.",私は「have a fight」を使った簡単な文を勉強しました。,我学习了包含“have a fight”的简单句子。,
1181,have a good memory,eiken3,1181,熟語,記憶力がいい,记性好,have a good memory,"I use ""have a good memory"" in a simple sentence.",私は「have a good memory」を使った簡単な文を勉強しました。,我学习了包含“have a good memory”的简单句子。,
1182,have a good sleep,eiken3,1182,熟語,ぐっすり眠る,睡个好觉,have a good sleep,"I use ""have a good sleep"" in a simple sentence.",私は「have a good sleep」を使った簡単な文を勉強しました。,我学习了包含“have a good sleep”的简单句子。,
1183,have a stomachache,eiken3,1183,熟語,腹痛がする,肚子疼,have a stomachache,"I use ""have a stomachache"" in a simple sentence.",私は「have a stomachache」を使った簡単な文を勉強しました。,我学习了包含“have a stomachache”的简单句子。,
1184,have a talk,eiken3,1184,熟語,話をする,谈话,have a talk,"I use ""have a talk"" in a simple sentence.",私は「have a talk」を使った簡単な文を勉強しました。,我学习了包含“have a talk”的简单句子。,
1185,have no idea,eiken3,1185,熟語,わからない,不知道,have no idea,"I use ""have no idea"" in a simple sentence.",私は「have no idea」を使った簡単な文を勉強しました。,我学习了包含“have no idea”的简单句子。,
1186,hear from,eiken3,1186,熟語,～から便りがある,收到来信,hear from,"I use ""hear from"" in a simple sentence.",私は「hear from」を使った簡単な文を勉強しました。,我学习了包含“hear from”的简单句子。,
1187,hear of,eiken3,1187,熟語,～を耳にする,听说,hear of,"I use ""hear of"" in a simple sentence.",私は「hear of」を使った簡単な文を勉強しました。,我学习了包含“hear of”的简单句子。,
1188,help A with,eiken3,1188,熟語,Aの～を手伝う,帮助A,help A with,"I use ""help A with"" in a simple sentence.",私は「help A with」を使った簡単な文を勉強しました。,我学习了包含“help A with”的简单句子。,
1189,how far,eiken3,1189,熟語,どのくらい遠い,多远,how far,"I use ""how far"" in a simple sentence.",私は「how far」を使った簡単な文を勉強しました。,我学习了包含“how far”的简单句子。,
1190,hundreds of,eiken3,1190,熟語,何百もの,数百,hundreds of,"I use ""hundreds of"" in a simple sentence.",私は「hundreds of」を使った簡単な文を勉強しました。,我学习了包含“hundreds of”的简单句子。,
1191,in a circle,eiken3,1191,熟語,輪になって,围成圈,in a circle,"I use ""in a circle"" in a simple sentence.",私は「in a circle」を使った簡単な文を勉強しました。,我学习了包含“in a circle”的简单句子。,
1192,in a group,eiken3,1192,熟語,グループで,成组,in a group,"I use ""in a group"" in a simple sentence.",私は「in a group」を使った簡単な文を勉強しました。,我学习了包含“in a group”的简单句子。,
1193,away from,eiken3,1193,熟語,～から遠い,远离,away from,"I use ""away from"" in a simple sentence.",私は「away from」を使った簡単な文を勉強しました。,我学习了包含“away from”的简单句子。,
1194,far from,eiken3,1194,熟語,～から遠い,离...远,far from,"I use ""far from"" in a simple sentence.",私は「far from」を使った簡単な文を勉強しました。,我学习了包含“far from”的简单句子。,
1195,feel at home,eiken3,1195,熟語,くつろぐ,宾至如归,feel at home,"I use ""feel at home"" in a simple sentence.",私は「feel at home」を使った簡単な文を勉強しました。,我学习了包含“feel at home”的简单句子。,
1196,feel better,eiken3,1196,熟語,気分がよくなる,感觉好些,feel better,"I use ""feel better"" in a simple sentence.",私は「feel better」を使った簡単な文を勉強しました。,我学习了包含“feel better”的简单句子。,
1197,feel like doing,eiken3,1197,熟語,～したい気がする,想要做,feel like doing,"I use ""feel like doing"" in a simple sentence.",私は「feel like doing」を使った簡単な文を勉強しました。,我学习了包含“feel like doing”的简单句子。,
1198,feel sick,eiken3,1198,熟語,気分が悪い,不舒服,feel sick,"I use ""feel sick"" in a simple sentence.",私は「feel sick」を使った簡単な文を勉強しました。,我学习了包含“feel sick”的简单句子。,
1199,fill in,eiken3,1199,熟語,～に記入する,填写,fill in,"I use ""fill in"" in a simple sentence.",私は「fill in」を使った簡単な文を勉強しました。,我学习了包含“fill in”的简单句子。,
1200,fill up with,eiken3,1200,熟語,～でいっぱいになる,充满,fill up with,"I use ""fill up with"" in a simple sentence.",私は「fill up with」を使った簡単な文を勉強しました。,我学习了包含“fill up with”的简单句子。,
1201,for a minute,eiken3,1201,熟語,少しの間,一会儿,for a minute,"I use ""for a minute"" in a simple sentence.",私は「for a minute」を使った簡単な文を勉強しました。,我学习了包含“for a minute”的简单句子。,
1202,for a while,eiken3,1202,熟語,しばらくの間,一段时间,for a while,"I use ""for a while"" in a simple sentence.",私は「for a while」を使った簡単な文を勉強しました。,我学习了包含“for a while”的简单句子。,
1203,for fun,eiken3,1203,熟語,楽しみで,为了好玩,for fun,"I use ""for fun"" in a simple sentence.",私は「for fun」を使った簡単な文を勉強しました。,我学习了包含“for fun”的简单句子。,
1204,for oneself,eiken3,1204,熟語,自分のために,为自己,for oneself,"I use ""for oneself"" in a simple sentence.",私は「for oneself」を使った簡単な文を勉強しました。,我学习了包含“for oneself”的简单句子。,
1205,for some time,eiken3,1205,熟語,しばらく,一段时间,for some time,"I use ""for some time"" in a simple sentence.",私は「for some time」を使った簡単な文を勉強しました。,我学习了包含“for some time”的简单句子。,
1206,forget to do,eiken3,1206,熟語,～するのを忘れる,忘记做,forget to do,"I use ""forget to do"" in a simple sentence.",私は「forget to do」を使った簡単な文を勉強しました。,我学习了包含“forget to do”的简单句子。,
1207,from abroad,eiken3,1207,熟語,海外から,从国外,from abroad,"I use ""from abroad"" in a simple sentence.",私は「from abroad」を使った簡単な文を勉強しました。,我学习了包含“from abroad”的简单句子。,
1208,from beginning to end,eiken3,1208,熟語,始めから終わりまで,从头到尾,from beginning to end,"I use ""from beginning to end"" in a simple sentence.",私は「from beginning to end」を使った簡単な文を勉強しました。,我学习了包含“from beginning to end”的简单句子。,
1209,have a fight,eiken3,1209,熟語,けんかをする,吵架,have a fight,Eric and Frank had a fight at school.,エリックとフランクは学校でけんかをしました。,Eric和Frank在学校吵架了。,
1210,have a good memory,eiken3,1210,熟語,記憶力がよい,记忆力好,have a good memory,She has a good memory and remembers many names.,彼女は記憶力がよく、たくさんの名前を覚えています。,她记忆力很好，记得很多名字。,
1211,have a good sleep,eiken3,1211,熟語,ぐっすり眠る,睡得好,have a good sleep,I had a good sleep last night.,昨夜はぐっすり眠りました。,我昨晚睡得很好。,
1212,have a stomachache,eiken3,1212,熟語,腹痛がする,肚子痛,have a stomachache,"Kate had a stomachache, so she stayed home.",ケイトはお腹が痛かったので、学校を休みました。,Kate肚子痛，所以待在家里。,
1213,happen to do,eiken3,1213,熟語,たまたま〜する,碰巧做……,happen to meet,I happened to meet him in New York City.,私はニューヨーク市でたまたま彼に会いました。,我在纽约市碰巧遇见了他。,
1214,have a baby,eiken3,1214,熟語,赤ちゃんを産む,生宝宝,have a baby,My aunt is going to have a baby next month.,おばは来月赤ちゃんを産む予定です。,我阿姨下个月要生宝宝。,
1215,have a dream,eiken3,1215,熟語,夢を持つ,有梦想,have a dream,It is important to have a dream for the future.,将来の夢を持つことは大切です。,拥有未来的梦想很重要。,
1216,have a fight,eiken3,1216,熟語,けんかをする,吵架,have a fight,"Yesterday, Eric and Frank had a fight at school.",昨日、エリックとフランクは学校でけんかをしました。,昨天，Eric和Frank在学校吵架了。,
1217,have a talk,eiken3,1217,熟語,話をする,谈话,have a talk,The teacher wants to have a talk with Ken’s parents.,先生はケンの両親と話をしたがっています。,老师想和Ken的父母谈谈。,
1218,in spite of ~,eiken3,1218,熟語,〜にもかかわらず,尽管……,in spite of the rain,We decided to go out in spite of the bad weather.,悪天候にもかかわらず、私たちは外出することにしました。,尽管天气不好，我们还是决定出门。,
1219,in the end,eiken3,1219,熟語,最後に、結局,最后；结果,in the end,"In the end, he decided to go to college.",結局、彼は大学に進学することにしました。,最后，他决定上大学。,
1220,in those days,eiken3,1220,熟語,その当時は,当时,in those days,"In those days, there was no TV in my house.",その当時、私の家にはテレビはありませんでした。,那时，我家没有电视。,
1221,in time (for ~),eiken3,1221,熟語,〜に間に合って,及时赶上,in time for the train,Ben ran as fast as he could and was in time for the train.,ベンはできるだけ速く走って、電車に間に合いました。,Ben尽快跑，及时赶上了火车。,
1222,instead of ~,eiken3,1222,熟語,〜の代わりに,代替……,instead of onion soup,We ordered green salad instead of onion soup.,私たちはオニオンスープの代わりにグリーンサラダを頼みました。,我们点了绿色沙拉来代替洋葱汤。,
1223,introduce A to B,eiken3,1223,熟語,AをBに紹介する,把A介绍给B,introduce my friend to you,"First, let me introduce my friend Ben to all of you.",まず、私の友人のベンをみんなに紹介させてください。,首先，让我把朋友Ben介绍给大家。,
1224,keep in touch with ~,eiken3,1224,熟語,〜と連絡を取る,与……保持联系,keep in touch with James,I still keep in touch with James by e-mail.,私は今でもEメールでジェームズと連絡を取っています。,我现在仍通过电子邮件和James保持联系。,
1225,keep one's promise,eiken3,1225,熟語,約束を守る,遵守诺言,keep his promise,Andy always keeps his promise.,アンディはいつも約束を守ります。,Andy总是遵守诺言。,
1226,lie down,eiken3,1226,熟語,横になる,躺下,lie down for a while,"I was very tired, so I lay down for a while.",とても疲れていたので、しばらく横になりました。,我很累，所以躺了一会儿。,
1227,like this,eiken3,1227,熟語,このように,像这样,like this,You can switch on the computer like this.,こんなふうにコンピューターのスイッチを入れられますよ。,你可以像这样打开电脑。,
1228,little by little,eiken3,1228,熟語,少しずつ,一点一点地,little by little,The Earth is getting warmer little by little.,地球は少しずつ暖かくなっています。,地球正在一点点变暖。,
1229,look after ~,eiken3,1229,熟語,〜の世話をする,照顾……,look after my daughter,Could you look after my daughter while I go to the post office?,私が郵便局へ行く間、娘の面倒を見てもらえますか。,我去邮局时，你能照看一下我女儿吗？,
1230,look like ~,eiken3,1230,熟語,〜のように見える,看起来像……,look like the dress,It looks like the dress I want.,それは私がほしいドレスに似ています。,那看起来像我想要的裙子。,
1231,look out of ~,eiken3,1231,熟語,〜から外を見る,从……向外看,look out of the window,Mary looked out of the window and found it was snowing.,メアリーは窓から外を見ると、雪が降っていることに気づきました。,Mary向窗外看，发现正在下雪。,
1232,look up ~,eiken3,1232,熟語,辞書で単語などを調べる,查阅……,look up a word,Look up the word in your dictionary.,その単語を辞書で調べなさい。,请在字典里查这个单词。,
1233,lose one's way,eiken3,1233,熟語,道に迷う,迷路,lose my way,"Excuse me, I’ve lost my way. Where are we on this map?",すみません、道に迷いました。ここはこの地図でどこですか。,不好意思，我迷路了。这里在地图上的哪里？,
1234,make A from B,eiken3,1234,熟語,Bを原料にしてAを作る,用B制作A,make wine from grapes,Wine is made from grapes.,ワインはブドウから作られます。,葡萄酒是用葡萄做的。,
1235,make A into B,eiken3,1235,熟語,AをBに加工する,把A加工成B,make beans into chocolate,They make cacao beans into chocolate at this factory.,この工場で、彼らはカカオ豆をチョコレートにします。,他们在这家工厂把可可豆做成巧克力。,
1236,make A of B,eiken3,1236,熟語,Bを材料にしてAを作る,用B制作A,make chairs of wood,We bought two chairs that were made of wood.,私たちは木で作られた椅子を2脚買いました。,我们买了两把木制椅子。,
1237,make a mistake,eiken3,1237,熟語,間違える,犯错误,make a mistake,I made a few mistakes on my English writing test.,私は英作文のテストで少し間違えました。,我在英语写作测试中犯了几个错误。,
1238,make (a) noise,eiken3,1238,熟語,音を立てる、騒ぐ,发出声音；吵闹,make too much noise,"Children, you’re making too much noise.",子どもたち、騒ぎすぎです。,孩子们，你们太吵了。,
1239,make money,eiken3,1239,熟語,お金をもうける,赚钱,make a lot of money,He worked very hard and made a lot of money.,彼はとても熱心に働き、たくさんのお金をもうけました。,他努力工作，赚了很多钱。,
1240,name A after B,eiken3,1240,熟語,BにちなんでAに名前をつける,以B命名A,name a baby after his grandfather,The baby was named after his grandfather.,その赤ちゃんはおじいさんにちなんで名づけられました。,那个宝宝以祖父的名字命名。,
1241,neither A nor B,eiken3,1241,熟語,AもBも〜ない,A和B都不,neither Japanese nor Chinese,He can speak neither Japanese nor Chinese.,彼は日本語も中国語も話せません。,他既不会日语也不会中文。,
1242,next door,eiken3,1242,熟語,隣に,隔壁,live next door,The woman who lives next door is a doctor.,隣に住んでいる女性は医者です。,住在隔壁的女士是医生。,
1243,next time,eiken3,1243,熟語,次回は,下次,next time,I want to visit other cities next time.,次回はほかの都市も訪れたいです。,下次我想参观其他城市。,
1244,next to ~,eiken3,1244,熟語,〜の隣に,在……旁边,next to the Star Hotel,He works at the coffee shop next to the Star Hotel.,彼はスターホテルの隣のコーヒーショップで働いています。,他在星酒店旁边的咖啡店工作。,
1245,no more (名詞),eiken3,1245,熟語,これ以上の〜はない,不再有更多……,no more information,I have no more information about it.,それに関するこれ以上の情報はありません。,关于那件事没有更多信息。,
1246,not A but B,eiken3,1246,熟語,AではなくB,不是A而是B,not a doctor but a nurse,He is not a doctor but a nurse.,彼は医者ではなく看護師です。,他不是医生，而是护士。,
1247,on foot,eiken3,1247,熟語,歩いて,步行,go on foot,It took about an hour to get there on foot.,そこへ歩いて行くのに約1時間かかりました。,步行到那里花了大约一小时。,
1248,on the other hand,eiken3,1248,熟語,一方では,另一方面,on the other hand,"Ann likes playing sports. On the other hand, her sister likes reading.",アンはスポーツが好きです。一方、彼女の妹は読書が好きです。,Ann喜欢运动。另一方面，她妹妹喜欢读书。,
1249,on time,eiken3,1249,熟語,時間どおりに,准时,arrive on time,Her train arrived on time.,彼女の電車は時間どおりに到着しました。,她的火车准时到达了。,
1250,on vacation,eiken3,1250,熟語,休暇で,在休假,go on vacation,I came to Hawaii not on vacation but on business.,私は休暇ではなく仕事でハワイに来ました。,我不是来夏威夷度假，而是来出差。,
1251,"once a day [week, month]",eiken3,1251,熟語,1日1回、週1回、月1回,一天/周/月一次,once a day,He has to take this medicine once a day.,彼は1日に1回この薬を飲まなければなりません。,他必须每天吃一次这种药。,
1252,once more,eiken3,1252,熟語,もう一度,再一次,once more,He wanted to visit France once more before he died.,彼は亡くなる前にもう一度フランスへ行きたがっていました。,他去世前想再去一次法国。,
1253,one after another,eiken3,1253,熟語,次々に,一个接一个,one after another,The marathon runners entered the stadium one after another.,マラソン走者が次々にスタジアムに入ってきました。,马拉松选手一个接一个进入体育场。,
1254,one another,eiken3,1254,熟語,お互い,彼此,look at one another,They looked at one another with smiles.,彼らは笑顔でお互いを見ました。,他们微笑着看着彼此。,
1255,"One is ~, the other is ...",eiken3,1255,熟語,片方は〜、他方は…,一个是……另一个是……,one is red and the other is purple,She bought two bags. One is red and the other is purple.,彼女はバッグを二つ買いました。一つは赤で、もう一つは紫です。,她买了两个包。一个是红色，另一个是紫色。,
1256,plan to do,eiken3,1256,熟語,〜するつもりである,计划做……,plan to take cooking lessons,I’m planning to take cooking lessons during summer vacation.,私は夏休みに料理教室へ行くつもりです。,我计划暑假去上烹饪课。,
1257,prepare for ~,eiken3,1257,熟語,〜の準備をする,为……做准备,prepare for the party,We have to prepare for the Christmas party.,私たちはクリスマスパーティーの準備をしなければなりません。,我们必须为圣诞派对做准备。,
1258,right away,eiken3,1258,熟語,すぐに,立刻,right away,"Certainly, sir. I’ll bring it right away.",かしこまりました。すぐにお持ちします。,好的，先生。我马上拿来。,
1259,say goodbye,eiken3,1259,熟語,別れを告げる,告别,say goodbye,Carol left without saying goodbye.,キャロルは別れを告げずに去りました。,Carol没有告别就离开了。,
1260,say to oneself,eiken3,1260,熟語,ひとりごとを言う、心に思う,自言自语；心想,say to oneself,"It will soon be over, he said to himself.",「すぐに終わるさ」と彼は心の中で思いました。,他心里想：“很快就会结束的。”,
1261,see A off,eiken3,1261,熟語,Aを見送る,送别A,see her friend off,Nancy went to the airport to see her friend off.,ナンシーは友人を見送りに空港へ行きました。,Nancy去机场送别朋友。,
1262,show A around,eiken3,1262,熟語,Aに〜を案内する,带A参观,show me around town,My aunt showed me around her town.,おばは私に自分の町を案内してくれました。,阿姨带我参观了她的城镇。,
1263,sleep well,eiken3,1263,熟語,よく眠る,睡得好,sleep well,Did you sleep well last night?,昨夜はよく眠れましたか。,你昨晚睡得好吗？,
1264,slow down,eiken3,1264,熟語,速度を落とす,减速,slow down,The train slowed down and stopped.,電車は速度を落として止まりました。,火车减速并停了下来。,
1265,smile at ~,eiken3,1265,熟語,〜にほほえみかける,对……微笑,smile at me,The woman smiled at me and asked my name.,その女性は私にほほえんで、私の名前をたずねました。,那位女士对我微笑并问了我的名字。,
1266,so far,eiken3,1266,熟語,今までのところ,到目前为止,so far,We have won all our games so far this season.,今シーズン、私たちは今までのところ全勝しています。,本赛季到目前为止我们赢了所有比赛。,
1267,so many ~,eiken3,1267,熟語,非常にたくさんの〜,这么多……,so many questions,There are so many questions I want to ask him.,彼にたずねたい質問がとてもたくさんあります。,我有很多问题想问他。,
1268,some other time,eiken3,1268,熟語,いつか別のときに,改天,some other time,I’m sorry I can’t join you tonight. Maybe some other time.,今晩は参加できなくてごめんね。また今度ね。,抱歉今晚不能参加。改天吧。,
1269,something (形容詞) to do,eiken3,1269,熟語,何か〜するべきもの,有某事要做,something cold to drink,I’m thirsty. I want something cold to drink.,のどが渇いた。何か冷たい物が飲みたいです。,我渴了，想喝点冷的东西。,
1270,sound like ~,eiken3,1270,熟語,〜のように聞こえる,听起来像……,sound like a great idea,That sounds like a great idea.,それはすばらしい考えのように聞こえます。,那听起来是个好主意。,
1271,speak to ~,eiken3,1271,熟語,〜に話しかける,和……说话,speak to the woman,I spoke to the woman looking at the map.,私は地図を見ている女性に話しかけました。,我和正在看地图的女士说话了。,
1272,stand for ~,eiken3,1272,熟語,〜を表す、〜の略である,代表……,stand for United States,U.S. stands for United States.,U.S.はUnited Statesの略です。,U.S.代表United States。,
1273,start with ~,eiken3,1273,熟語,〜で始まる,以……开始,start with a speech,The festival started with the mayor’s speech.,お祭りは市長の演説で始まりました。,节日以市长的演讲开始。,
1274,stay with ~,eiken3,1274,熟語,〜のところに滞在する,和……住在一起,stay with my uncle,I’m going to stay with my uncle in Sydney next weekend.,来週末はシドニーのおじのところに滞在する予定です。,下周末我打算住在悉尼的叔叔家。,
1275,stop by,eiken3,1275,熟語,立ち寄る,顺便拜访,stop by on Sunday,"If you’re not busy on Sunday, please stop by.",日曜日に忙しくなければ、どうぞお立ち寄りください。,如果你周日不忙，请顺便来一下。,
1276,such as ~,eiken3,1276,熟語,たとえば〜のような,比如……,such as peaches and pears,Fruits such as peaches and pears are grown in Washington.,ワシントン州ではモモやナシのような果物が栽培されています。,华盛顿州种植桃子和梨等水果。,
1277,suffer from ~,eiken3,1277,熟語,〜に苦しむ,受……之苦,suffer from hunger,Many people in the world suffer from hunger.,世界では多くの人が飢えに苦しんでいます。,世界上很多人受饥饿之苦。,
1278,surf (on) the Internet,eiken3,1278,熟語,インターネットを見て回る,上网浏览,surf the Internet,Fred spends his free time surfing the Internet.,フレッドは空き時間をインターネットを見て回るのに使います。,Fred把空闲时间用来上网浏览。,
1279,take a break,eiken3,1279,熟語,休憩する,休息一下,take a break,Jim always takes a break at three in the afternoon.,ジムはいつも午後3時に休憩をとります。,Jim总是在下午三点休息。,
1280,take a look at ~,eiken3,1280,熟語,〜を見る,看一看……,take a look at it,"David, the DVD player doesn’t work. Can you take a look at it?",デイビッド、DVDプレーヤーが動かないの。見てくれない？,David，DVD播放器不能用。你能看一下吗？,
1281,take (a) medicine,eiken3,1281,熟語,薬を飲む,吃药,take this medicine,"If you take this medicine, you will feel better.",この薬を飲めば、気分がよくなりますよ。,如果你吃这种药，会感觉好些。,
1282,take a rest,eiken3,1282,熟語,休憩する,休息,take a rest,You look tired. Why don’t you take a rest?,疲れているようです。休憩してはどうですか。,你看起来很累。休息一下怎么样？,
1283,take a seat,eiken3,1283,熟語,席につく、座る,就座,take a seat,He told me to take a seat.,彼は私に席につくように言いました。,他让我坐下。,
1284,take a trip,eiken3,1284,熟語,旅行する,旅行,take a trip to the U.K.,I hear you will take a trip to the U.K.,イギリスへ旅行するそうですね。,听说你要去英国旅行。,
1285,take a walk,eiken3,1285,熟語,散歩する,散步,take a walk,Let’s take a walk this afternoon.,今日の午後に散歩に行きましょう。,今天下午去散步吧。,
1286,take out ~,eiken3,1286,熟語,〜を取り出す、連れ出す,取出；带出去,take out a picture,She took out a picture from her bag and showed it to me.,彼女はかばんから1枚の写真を取り出し、私に見せてくれました。,她从包里拿出一张照片给我看。,
1287,tell a lie,eiken3,1287,熟語,うそをつく,说谎,tell a lie,You mustn’t tell a lie.,うそをついてはいけません。,你不可以说谎。,
1288,than any other ~,eiken3,1288,熟語,ほかのどの〜よりも,比任何其他……都,stronger than any other team,Our soccer team is stronger than any other team in this city.,私たちのサッカーチームはこの市のほかのどのチームよりも強いです。,我们的足球队比这个城市其他任何队都强。,
1289,thank A for ~,eiken3,1289,熟語,Aに〜に対する礼を言う,感谢A的……,thank him for helping me,The man thanked me for helping him.,その男性は私が助けたことに対して私に礼を言いました。,那位男士感谢我帮助了他。,
1290,these days,eiken3,1290,熟語,最近,最近,these days,These days more people care about the environment.,最近、ますます多くの人が自然環境を気にかけています。,最近，越来越多的人关心环境。,
1291,this is one's first time to do,eiken3,1291,熟語,〜にとって初めてである,第一次做……,first time to come to this town,Is this your first time to come to this town?,この町に来るのは初めてですか。,这是你第一次来这个城镇吗？,
1292,this way,eiken3,1292,熟語,こちらの方向へ、このようにして,这边；这样,this way,Come this way. I’ll show you our office.,どうぞこちらへ。私たちのオフィスをお見せします。,请往这边。我带你看我们的办公室。,
1293,thousands of ~,eiken3,1293,熟語,何千もの〜、たくさんの〜,成千上万的……,thousands of visitors,Thousands of visitors travel to this castle every month.,何千もの観光客が毎月この城を訪れます。,每月有成千上万的游客参观这座城堡。,
1294,~ times as (形容詞) as A,eiken3,1294,熟語,Aの〜倍…な,是A的……倍,three times as large as that one,This park is three times as large as that one.,この公園はあの公園の3倍の広さがあります。,这个公园是那个公园的三倍大。,
1295,turn ~ over,eiken3,1295,熟語,〜を裏返す,翻转……,turn the card over,Could you please turn the card over and look at me?,カードを裏返して、私の方を見てください。,请把卡片翻过来，然后看我。,
1296,used to do,eiken3,1296,熟語,以前はよく〜した,过去常常做……,used to go to the park,I used to go to this park with my grandmother.,私は以前、祖母とこの公園に来ました。,我以前常和祖母来这个公园。,
1297,walk around,eiken3,1297,熟語,歩き回る、散歩する,四处走走,walk around the mall,"At the shopping mall, I just walked around and bought nothing.",ショッピングモールでは、ただ歩き回って何も買いませんでした。,在商场里，我只是四处走了走，什么也没买。,
1298,would love to do,eiken3,1298,熟語,ぜひ〜したい,很想做……,would love to stay longer,"We would love to stay longer, but we have to go.",もっと長くいたいのですが、行かなければなりません。,我们很想多待一会儿，但必须走了。,
1299,write down ~,eiken3,1299,熟語,〜を書きとめる,写下……,write down phone numbers,I wrote down their phone numbers on a piece of paper.,紙に彼らの電話番号を書きとめました。,我把他们的电话号码写在一张纸上。,
1300,write to ~,eiken3,1300,熟語,〜に手紙を書く,写信给……,write to her parents,Amy wrote to her parents every month while she was in Japan.,エイミーは日本にいる間、毎月両親に手紙を書きました。,Amy在日本期间每个月给父母写信。,
