ID,English,category,Japanese,Chinese,Example_English short,Example_English,Example_Japanese,Example_Chinese,Importance,mistake time,Frequncy in test
1,let,??,?に…させる,?；允?,let me do,My mother let me play video games after homework.,母は宿題を終えた後でゲームをさせてくれた。,???我在做完作?后玩游?。,A,0,A
2,decide,??,決心する,决定,decide to do,I decided to study English every day.,私は毎日英語を勉強することに決めた。,我决定?天学?英?。,A,0,A
3,leave,??,置いたままにする；去離れる,留下；??,leave open,Please leave the window open.,,?把窗??着。,A,0,A
4,long,??,切望する,?望,long for,She longed for peace and quiet.,,??望和平与安静。,A,0,A
5,practice,??,練習する,??,practice doing,He practices playing the guitar every night.,,他?天?上???吉他。,A,0,A
6,move,??,引っ越す；動かす,搬家；移?,move to,We moved to Yokohama last year.,,我?去年搬到了横?。,A,0,A
7,pay,??,支払う,支付,pay for,I paid 500 yen for the lunch.,,我?午餐支付了500日元。,A,0,A
8,change,??,変える；変わる,改?,change into,Water changes into ice in winter.,,水在冬天会?成冰。,A,0,A
9,spell,??,つづる,?写,spell a word,Can you spell your name in English?,,?能用英??写?的名字?？,A,0,A
10,grow,??,成長する；増える,成?；增加,grow quickly,Vegetables grow quickly in summer.,,蔬菜在夏天?得很快。,A,0,A
11,spend,??,費やす,花?,spend time doing,She spends a lot of time reading books.,,?花很多????。,A,0,A
12,order,??,注文する；命じる,点餐；命令,order food,We ordered pizza for dinner.,,我??餐点了披?。,A,0,A
13,share,??,共有する,分享；共用,share with,I shared my umbrella with my friend.,,我和朋友共用了一把?。,A,0,A
14,check,??,確かめる；調べる,??,check carefully,Please check your homework carefully.,,?仔????的作?。,A,0,A
15,forget,??,忘れる,忘?,forget to do,I forgot to bring my notebook today.,,我今天忘了???本。,A,0,A
16,guide,??,案内する,引?；??,guide around,He guided us around Tokyo Station.,,他?我?参?了?京站。,A,0,A
17,hold,??,開催する；持つ,??；拿着,hold a meeting / hold a party,Our school will hold a sports festival next month.,,我?学校下个月将????会。,A,0,A
18,report,??,報道する；報告する,?道；?告,report to,She reported the accident to the police.,,?向警察?告了事故。,A,0,A
19,return,??,帰る；戻る,返回；??,return to,He returned to Japan last week.,,他上周回到了日本。,A,0,A
20,seem,??,?のようだ,看起来；似乎,seem to be,She seems very happy today.,,?今天看起来很?心。,A,0,A
21,train,??,訓練する,??,train dogs,They train dogs to help people.,,他???狗?助人?。,A,0,A
22,wait,??,待つ,等待,wait for,We waited for the bus in the rain.,,我?在雨中等公交?。,A,0,A
23,invite,??,招待する,邀?,invite A to B,I invited my friend to my birthday party.,,我邀?朋友来我的生日派?。,A,0,A
24,sound,??,?のように聞こえる,听起来,sound interesting,Your idea sounds interesting.,,?的想法听起来很有趣。,A,0,A
25,taste,??,味がする,?起来,taste sweet,This cake tastes sweet.,,?个蛋??起来很甜。,A,0,A
26,worry,??,心配する,担心,worry about,Don't worry about the test.,,不要担心考?。,A,0,A
27,join,??,参加する,加入；参加,join a club,Why don't you join our club?,,??什?不加入我?的社?？,A,0,A
28,lose,??,失う；負ける,失去；?,lose a game,Our team lost the game yesterday.,,我??昨天?了比?。,A,0,A
29,remember,??,覚えている,?得,remember doing,I remember meeting her before.,,我?得以前???。,A,0,A
30,climb,??,登る,攀登,climb a mountain,They climbed the mountain together.,,他?一起爬山。,A,0,A
31,exchange,??,交換する,交?,exchange A for B,We exchanged gifts at Christmas.,,我?在???交?了礼物。,A,0,A
32,offer,??,申し出る,提供；主?提出,offer help,He offered me some help.,,他主?提出?助我。,A,0,A
33,perform,??,上演する；演じる,表演,perform a play,The students performed a play on stage.,,学生?在舞台上表演了一出?。,A,0,A
34,pick,??,摘む；選ぶ,摘；??,pick flowers,She picked some flowers in the park.,,?在公?摘了一些花。,A,0,A
35,repair,??,修理する,修理,repair a chair,My father repaired the broken chair.,,我??修好了坏掉的椅子。,A,0,A
36,interview,??,インタビューする,采?；面?,interview a person,The reporter interviewed the actor.,,?者采?了那位演?。,A,0,A
37,travel,??,旅行する,旅行,travel around,I want to travel around Europe someday.,,我想有一天去欧洲旅行。,A,0,A
38,expect,??,予想する；期待する,期待；?料,expect to do,We expect it to rain tomorrow.,,我???明天会下雨。,A,0,A
39,miss,??,逃す；恋しく思う,??；想念,miss the train,I missed the last train last night.,,我昨???了末班?。,A,0,A
40,prepare,??,準備する,准?,prepare for,She prepared dinner for her family.,,??家人准?了??。,A,0,A
41,win,??,勝ち取る,?得,win a match,Our school won the soccer match.,,我?学校?得了足球比?。,A,0,A
42,carry,??,運ぶ,搬?；携?,carry a box,He carried the heavy box upstairs.,,他把重箱子搬上楼。,A,0,A
43,build,??,建てる,建造,build a bridge,They built a new bridge near the station.,,他?在?站附近建了一座新?。,A,0,A
44,care,??,気にかける,在意；?心,care about,She cares about her friends very much.,,?非常?心朋友。,A,0,A
45,cost,??,費用がかかる,花?,cost money,"This bike costs 30,000 yen.",,??自行?要3万日元。,A,0,A
46,create,??,創造する,?造,create art,The artist created a beautiful painting.,,那位??家?作了一幅美?的画。,A,0,A
47,design,??,デザインする,??,design a website,She designed a new website for the company.,,??公司??了新网站。,A,0,A
48,increase,??,増加する,增加,increase dramatically,The number of tourists increased this year.,,今年游客数量增加了。,A,0,A
49,introduce,??,紹介する,介?,introduce A to B,Let me introduce my teacher to you.,,?我把老?介???。,A,0,A
50,prefer,??,?の方を好む,更喜?,prefer A to B,I prefer tea to coffee.,,比起??，我更喜?茶。,A,0,A
51,relax,??,くつろぐ,放松,relax after work,I like to relax after dinner.,,我喜???后放松。,A,0,A
52,run,??,走る；経営する,?；??,run a business,Her family runs a small restaurant.,,?家??一家小餐?。,A,0,A
53,save,??,節約する；救う,?省；拯救,save energy,We should save water and electricity.,,我?????水?。,A,0,A
54,add,??,加える,添加；增加,add A to B,Please add your name to the list.,,?把?的名字加到名?里。,A,0,A
55,agree,??,賛成する；同意する,同意；?成,agree with,I agree with your idea.,,我同意?的想法。,A,0,A
56,appear,??,現れる；?のように見える,出?；?得,appear on,The sun appeared from behind the clouds.,,太?从云后出?了。,A,0,A
57,borrow,??,借りる,借入；借用,borrow A from B,Can I borrow your dictionary?,,我可以借?的?典?？,A,0,A
58,die,??,死ぬ,死亡,die of/from,Many plants died because of the heat.,,?多植物因?炎?而枯死了。,A,0,A
59,improve,??,改良する；良くなる,改善；提高,improve quality,She improved her English by reading books.,,?通???提高了英?水平。,A,0,A
60,mean,??,意味する,意思是；意味着,What does it mean?,What does this word mean?,,?个??是什?意思？,A,0,A
61,mind,??,気にする；嫌がる,介意；在意,mind doing,I don't mind waiting here.,,我不介意在?里等。,A,0,A
62,plant,??,植える；種をまく,?植；播?,plant flowers,We planted flowers in the garden.,,我?在花?里?了花。,A,0,A
63,receive,??,受け取る,收到,receive A from B,I received a letter from my friend.,,我收到了朋友的一封信。,A,0,A
64,rent,??,借りる；貸す,租借；出租,rent a house,They rented a house near the station.,,他?在?站附近租了一?房子。,A,0,A
65,reply,??,返事をする；答える,回?；回答,reply to,Please reply to my email today.,,?今天回?我的?件。,A,0,A
66,allow,??,許す,允?,allow A to do,My parents allow me to use the computer.,,父母允?我使用??。,A,0,A
67,bear,??,我慢する,忍受,bear pain,I can't bear this noise anymore.,,我再也忍受不了?个噪音了。,A,0,A
68,cause,??,引き起こす,引起；?致,cause trouble,Heavy rain caused a traffic jam.,,大雨?致了交通堵塞。,A,0,A
69,continue,??,続ける,??,continue to do / doing,He continued to study after dinner.,,他??后??学?。,A,0,A
70,dress,??,服を着る；服を着せる,穿衣；?……穿衣,dress well,She dressed quickly and left home.,,?迅速穿好衣服??了家。,A,0,A
71,follow,??,ついていく；従う,跟随；遵循,follow me,Please follow the teacher's instructions.,,?遵循老?的指示。,A,0,A
72,graduate,??,卒業する,??,graduate from,My brother graduated from college last year.,,我哥哥去年大学??了。,A,0,A
73,guess,??,推測する,猜?；推?,guess his age,Can you guess the answer?,,?能猜出答案?？,A,0,A
74,marry,??,結婚する,?婚,marry someone,She married a doctor last spring.,,?去年春天和一名医生?婚。,A,0,A
75,protect,??,保護する,保?,protect A from B,We must protect children from danger.,,我?必?保?孩子免受危?。,A,0,A
76,search,??,捜す,?找；搜索,search for,They searched for the lost dog.,,他??找那只走失的狗。,A,0,A
77,set,??,調整する；置く,?置；放置,set an alarm,Please set the alarm for seven.,,?把???到7点。,A,0,A
78,smell,??,においがする,?起来,smell good,This soup smells good.,,???起来很好。,A,0,A
79,turn,??,曲がる；変わる,?弯；?成,turn right/left,Turn right at the next corner.,,在下一个拐角右?。,A,0,A
80,wish,??,願う,希望；祝愿,wish for,I wish you good luck.,,祝?好?。,A,0,A
81,arrive,??,到着する,到?,arrive at/in,We arrived at the airport on time.,,我?准?到?了机?。,A,0,A
82,cancel,??,中止する；取り消す,取消,cancel a plan,They canceled the picnic because of rain.,,因?下雨他?取消了野餐。,A,0,A
83,copy,??,写しを取る；まねる,?制；模?,copy data,Please copy this sentence into your notebook.,,?把?个句子抄到??本里。,A,0,A
84,cover,??,覆う,覆盖,be covered with,The mountain was covered with snow.,,那座山被雪覆盖着。,A,0,A
85,enter,??,入る；参加する,?入；参加,enter a room,He entered the classroom quietly.,,他安静地走?教室。,A,0,A
86,happen,??,起こる,?生,What happened?,What happened after school?,,放学后?生了什?？,A,0,A
87,recommend,??,推薦する；勧める,推荐,recommend A to B,I recommend this book to beginners.,,我把?本?推荐?初学者。,A,0,A
88,steal,??,盗む,?,steal A from B,Someone stole my bike yesterday.,,昨天有人?了我的自行?。,A,0,A
89,throw,??,投げる,投?；?,throw a ball,He threw the ball to his friend.,,他把球??了朋友。,A,0,A
90,wonder,??,?かなと思う,想知道；感到疑惑,wonder where/why,I wonder where he went.,,我想知道他去了?里。,A,0,A
91,avoid,??,避ける,避免,avoid doing,You should avoid eating too much sugar.,,???避免吃太多糖。,A,0,A
92,bake,??,焼く,??,bake cookies,My sister baked cookies for us.,,姐姐?我??了?干。,A,0,A
93,contain,??,含む；収容できる,包含；含有,contain vitamin C,This juice contains a lot of vitamin C.,,??果汁含有很多?生素C。,A,0,A
94,damage,??,損傷を与える,?坏,damage a car,The storm damaged many houses.,,暴?雨?坏了?多房子。,A,0,A
95,fail,??,失敗する；不合格になる,失?；不及格,fail an exam,He failed the driving test.,,他?照考?没通?。,A,0,A
96,feed,??,食べ物を与える,?食,feed a pet,Please feed the cat before dinner.,,?在??前?猫。,A,0,A
97,fit,??,合う；適している,合?；?合,fit well,This jacket fits me well.,,?件?克很?合我。,A,0,A
98,fix,??,修理する；固定する,修理；固定,fix a camera,Can you fix my bicycle?,,?能修我的自行??？,A,0,A
99,hurt,??,傷つける；痛む,受?；疼痛,hurt one's arm,My leg hurts after running.,,??后我的腿疼。,A,0,A
100,lead,??,導く；案内する,??；引?,lead A to B,The guide led us to the museum.,,?游?我?去了博物?。,A,0,A
101,raise,??,育てる；上げる,?育；提高；?集,raise money,They raised money for the school trip.,,他??学校旅行?款。,A,0,A
102,solve,??,解決する,解决,solve a problem,We solved the problem together.,,我?一起解决了??。,A,0,A
103,wake,??,目を覚ます；起こす,醒来；叫醒,wake up,I wake up at six every morning.,,我?天早上6点醒来。,A,0,A
104,waste,??,浪費する,浪?,waste time,Don't waste your time.,,不要浪??的??。,A,0,A
105,advise,??,忠告する,建?；?告,advise A to do,My teacher advised me to read more books.,,老?建?我多??。,A,0,A
106,arrange,??,取り決める；準備する,安排；准?,arrange a meeting,We arranged a meeting for Friday.,,我?把会?安排在周五。,A,0,A
107,belong,??,所属する；属する,属于；所属,belong to,This bag belongs to my sister.,,?个包是我妹妹的。,A,0,A
108,celebrate,??,祝う,?祝,celebrate a birthday,We celebrated my father's birthday.,,我??祝了??的生日。,A,0,A
109,cheer,??,声援する；励ます,?呼；鼓励,cheer for,Everyone cheered for the team.,,大家?球?加油。,A,0,A
110,count,??,数える,数数；?算,count the change,The child counted the stars in the sky.,,孩子数着天上的星星。,A,0,A
111,delay,??,遅らせる；延期する,延?；推?,be delayed,The rain delayed the baseball game.,,下雨使棒球比?延?了。,A,0,A
112,include,??,含む,包含,include breakfast,The price includes breakfast.,,价格包含早餐。,A,0,A
113,lend,??,貸す,借出；借?,lend A B,Can you lend me your pen?,,?能把?借?我?？,A,0,A
114,pack,??,詰め込む；荷造りする,打包；装?,pack A into B,I packed my clothes into a small bag.,,我把衣服装?小包里。,A,0,A
115,produce,??,生産する；引き起こす,生?；?生,produce goods,This factory produces cars.,,?家工厂生?汽?。,A,0,A
116,reach,??,到着する,到?,reach a destination,We reached the station before noon.,,我?中午前到?了?站。,A,0,A
117,recover,??,回復する；取り戻す,恢?；取回,recover from,He recovered from a cold quickly.,,他很快从感冒中恢?了。,A,0,A
118,remain,??,残る；?のままである,留下；保持,remain silent,She remained calm during the test.,,考?中?保持冷静。,A,0,A
119,reserve,??,予約する；取っておく,??；保留,reserve a room,I reserved a table for two.,,我??了?个人的座位。,A,0,A
120,serve,??,出す；仕える,提供；服?,serve food,They serve lunch at noon.,,他?中午供?午餐。,A,0,A
121,spread,??,広がる；広げる,?播；?散；展?,spread quickly,The news spread quickly through the town.,,消息很快?遍了小?。,A,0,A
122,stand,??,我慢する；立っている,忍受；站立,stand noise,I can't stand loud music.,,我受不了很?的音?。,A,0,A
123,trade,??,交換する；貿易する,交?；?易,trade A with B,He traded cards with his friend.,,他和朋友交?了?片。,A,0,A
124,transport,??,輸送する,??,transport goods,Ships transport goods around the world.,,船只把?物?往世界各地。,A,0,A
125,upset,??,動揺する；動揺させる,使不安；使心?,be upset about,The bad news upset her.,,?个坏消息??很??。,A,0,A
126,idea,名?,考え、思いつき、アイデア,想法；主意,come up with a good idea,I have a good idea for our project.,私は私たちのプロジェクトに良いアイデアがあります。,我?我?的?目有一个好主意。,A,0,A
127,area,名?,地域、区域、領域,地区；区域；?域,a business area,This area is famous for its old temples.,この地域は古い寺で有名です。,?个地区以古老寺??名。,A,0,A
128,apartment,名?,アパート,公寓,move into a new apartment,They moved into a new apartment last month.,彼らは先月新しいアパートに引っ越しました。,他?上个月搬?了新公寓。,A,0,A
129,lighthouse,名?,灯台,灯塔,a lighthouse keeper,We saw a lighthouse by the sea.,私たちは海のそばに灯台を見ました。,我?在海?看到了灯塔。,A,0,A
130,photograph,名?,写真,照片,a black-and-white photograph,This photograph reminds me of my childhood.,この写真は私に子どものころを思い出させます。,??照片?我想起童年。,A,0,A
131,reason,名?,理由、理性,理由；理性,a good reason,Tell me the reason for your decision.,あなたの決定の理由を教えてください。,?告?我?做?个决定的理由。,A,0,A
132,actor,名?,俳優,演?,a movie actor,The actor played a detective in the movie.,その俳優は映画で探偵を演じました。,那位演?在?影里扮演?探。,A,0,A
133,owner,名?,所有者,所有者；主人,the owner of this restaurant,The owner of this restaurant is very kind.,このレストランのオーナーはとても親切です。,?家餐?的老板很?切。,A,0,A
134,fossil,名?,化石,化石,the fossil of a dinosaur,The child found a small fossil in the rock.,その子どもは岩の中に小さな化石を見つけました。,那个孩子在岩石里??了小化石。,A,0,A
135,husband,名?,夫,丈夫,husband and wife,Her husband works at a hospital.,彼女の夫は病院で働いています。,?的丈夫在医院工作。,A,0,A
136,meal,名?,食事,餐；?,have a meal,We prepared a warm meal for the guests.,私たちは客のために温かい食事を用意しました。,我??客人准?了一???。,A,0,A
137,excuse,名?,言い訳、弁解,借口；?解,make an excuse,He made an excuse for being late.,彼は遅刻した言い訳をしました。,他??到找了借口。,A,0,A
138,advantage,名?,有利な点、利益,?点；??；利益,one advantage of,One advantage of online study is flexibility.,オンライン学習の利点の一つは柔軟性です。,在?学?的一个?点是?活。,A,0,A
139,government,名?,政府,政府,a central government,The government announced a new plan.,政府は新しい計画を発表しました。,政府公布了一?新??。,A,0,A
140,information,名?,情報,信息,a piece of information,Please give me more information about the event.,そのイベントについてもっと情報をください。,??我更多?于活?的信息。,A,0,A
141,operation,名?,手術、操作,手?；操作,have an operation,My grandfather had an operation last year.,私の祖父は去年手術を受けました。,我??去年做了手?。,A,0,A
142,result,名?,結果、成果,?果；成果,as a result,"As a result, we finished the work early.",その結果、私たちは早く仕事を終えました。,?果我?提前完成了工作。,A,0,A
143,chance,名?,機会,机会,the last chance to try,This is your last chance to try.,これはあなたが挑戦する最後の機会です。,?是???的最后机会。,A,0,A
144,clothes,名?,衣服,衣服,put on clothes,Put on warm clothes before you go out.,出かける前に暖かい服を着なさい。,出?前穿上暖和的衣服。,A,0,A
145,couple,名?,2つ、カップル、一対,一?；几个；夫?,a couple of days,A couple of students were absent today.,今日は二、三人の生徒が欠席しました。,今天有?三个学生缺席了。,A,0,A
146,experience,名?,経験,??；??,have experience in,She has experience in teaching children.,彼女には子どもを教えた経験があります。,?有教孩子的??。,A,0,A
147,fact,名?,事実,事?,in fact,"In fact, I have already finished it.",実は、私はもうそれを終えました。,事?上，我已?完成了。,A,0,A
148,future,名?,将来、未来,将来；未来,in the future,I want to be a doctor in the future.,私は将来医者になりたいです。,我将来想成?医生。,A,0,A
149,Internet,名?,インターネット,互?网,on the Internet,I found the answer on the Internet.,私はインターネットで答えを見つけました。,我在网上找到了答案。,A,0,A
150,ma'am,名?,奥様、お嬢様、先生,女士；夫人,"May I help you, ma'am?","May I help you, ma'am?",奥様、何かお手伝いしましょうか。,女士，需要我?忙?？,A,0,A
151,puppet,名?,操り人形,木偶；玩偶,a puppet show,The children enjoyed the puppet show.,子どもたちは操り人形の劇を楽しみました。,孩子?很喜?木偶?。,A,0,A
152,accident,名?,事故、偶然,事故；意外,cause a car accident,A car accident happened near the school.,学校の近くで自動車事故が起こりました。,学校附近?生了一起??。,A,0,A
153,century,名?,1世紀、100年,世?；一百年,in the 20th century,This castle was built in the 16th century.,この城は16世紀に建てられました。,?座城堡建于16世?。,A,0,A
154,front,名?,前部、正面、前線,前面；正面,in the front of,Please sit in the front of the bus.,バスの前の方に座ってください。,?坐在公交?前面。,A,0,A
155,guest,名?,客、宿泊客、招待客,客人；来?,a hotel guest,We welcomed a guest from Canada.,私たちはカナダからの客を迎えました。,我?接待了一位来自加拿大的客人。,A,0,A
156,professor,名?,教授,教授,Professor John White,Professor White teaches history.,ホワイト教授は歴史を教えています。,?特教授教?史。,A,0,A
157,sale,名?,販売、特売、セール,?售；特?,for sale,This house is for sale.,この家は売り出し中です。,??房子正在出售。,A,0,A
158,traffic,名?,交通量,交通；?流,heavy traffic,There is heavy traffic this morning.,今朝は交通量が多いです。,今天早上交通很?堵。,A,0,A
159,vehicle,名?,車、乗り物,??；交通工具,motor vehicles,Electric vehicles are becoming popular.,電気自動車が人気になっています。,???越来越受?迎。,A,0,A
160,character,名?,登場人物、特徴、性格,角色；特征；性格,the main character,The main character is brave and kind.,主人公は勇敢で親切です。,主人公勇敢又善良。,A,0,A
161,gift,名?,才能、贈り物,才能；礼物,a special gift for music,She has a special gift for music.,彼女には音楽の特別な才能があります。,?有特殊的音?才能。,A,0,A
162,mistake,名?,間違い、誤り,??,make a mistake,Everyone can make a mistake.,誰でも間違えることがあります。,?个人都会犯?。,A,0,A
163,passenger,名?,乗客,乘客,a passenger list,The passengers waited quietly on the train.,乗客たちは電車の中で静かに待ちました。,乘客?在?上安静地等待。,A,0,A
164,shelter,名?,避難所、住まい,避?所；住所,emergency shelter,The school became an emergency shelter.,その学校は緊急避難所になりました。,那所学校成了?急避?所。,A,0,A
165,sunlight,名?,日光,?光,bright sunlight,The room was full of bright sunlight.,部屋は明るい日光でいっぱいでした。,房?里充?了明亮的?光。,A,0,A
166,trouble,名?,トラブル、悩み、もめごと,麻?；??；??,cause trouble,His careless words caused a lot of trouble.,彼の不注意な言葉が多くのトラブルを引き起こしました。,他不小心的?引起了很多麻?。,A,0,A
167,address,名?,住所、演説,地址；演?,present address,Please write your present address here.,ここに現在の住所を書いてください。,?在?里写下?住址。,A,0,A
168,audience,名?,観衆、聴衆,??；听?,a large audience,There was a large audience at the concert.,コンサートには大勢の観客がいました。,音?会上有很多??。,A,0,A
169,co-worker,名?,同僚、協力者,同事；合作者,a co-worker at my office,I had lunch with a co-worker.,私は同僚と昼食を食べました。,我和同事一起吃了午?。,A,0,A
170,dinosaur,名?,恐竜,恐?,be interested in dinosaurs,My son is interested in dinosaurs.,私の息子は恐竜に興味があります。,我儿子?恐?感?趣。,A,0,A
171,expert,名?,専門家,?家,according to experts,"According to experts, sleep is important.",専門家によると、睡眠は大切です。,据?家?，睡眠很重要。,A,0,A
172,honey,名?,あなた、おまえ、はちみつ,??的；蜂蜜,give me a hand,"Give me a hand, honey.",あなた、ちょっと手伝ってください。,??的，?我一下。,A,0,A
173,method,名?,方法,方法,a teaching method,This teaching method is easy to understand.,この教授法は理解しやすいです。,??教学方法很容易理解。,A,0,A
174,million,名?,百万、数百万,百万；?多,a few million,A few million people visited the city.,数百万人がその町を訪れました。,数百万人??了?座城市。,A,0,A
175,pigeon,名?,ハト,?子,a homing pigeon,A pigeon was sitting on the roof.,ハトが屋根の上に止まっていました。,一只?子停在屋?上。,A,0,A
176,rock,名?,岩,岩石,huge rock,We climbed over a huge rock.,私たちは巨大な岩を越えました。,我?爬?了一?巨大的岩石。,A,0,A
177,service,名?,サービス、奉仕,服?；奉献,offer services,This hotel offers excellent service.,このホテルはすばらしいサービスを提供しています。,?家酒店提供??服?。,A,0,A
178,uniform,名?,制服、ユニフォーム,制服,school uniform,Students must wear a school uniform.,生徒は学校の制服を着なければなりません。,学生必?穿校服。,A,0,A
179,war,名?,戦争,?争,be killed in a war,Many people suffered during the war.,多くの人々が戦争中に苦しみました。,?多人在?争期?受苦。,A,0,A
180,advice,名?,忠告、助言,建?；忠告,take one's advice,I followed my teacher's advice.,私は先生の助言に従いました。,我听从了老?的建?。,A,0,A
181,article,名?,記事,文章；?道,a newspaper article,I read a newspaper article about space.,私は宇宙についての新聞記事を読みました。,我?了一篇?于太空的新??道。,A,0,A
182,discovery,名?,発見,??,the discovery of,The discovery of a new planet surprised everyone.,新しい惑星の発見は皆を驚かせました。,新行星的???大家吃?。,A,0,A
183,event,名?,出来事、行事,事件；活?,world events,The school event will be held tomorrow.,学校行事は明日行われます。,学校活?明天?行。,A,0,A
184,flight,名?,定期航空便、フライト、飛行,航班；?行,a delayed flight,My flight was delayed by bad weather.,私の便は悪天候で遅れました。,我的航班因天气不好延?了。,A,0,A
185,nature,名?,自然、性質,自然；性?,in harmony with nature,We should live in harmony with nature.,私たちは自然と調和して暮らすべきです。,我???与自然和?相?。,A,0,A
186,navy,名?,海軍,海?,the U.S. Navy,My uncle served in the navy.,私の叔父は海軍にいました。,我叔叔曾在海?服役。,A,0,A
187,price,名?,価格、物価,价格；物价,at a high price,The price of rice is rising.,米の価格が上がっています。,大米价格正在上?。,A,0,A
188,prize,名?,賞、賞品,?；?品,give a prize,She won first prize in the contest.,彼女はコンテストで一等賞を取りました。,?在比?中?得了一等?。,A,0,A
189,purpose,名?,目的,目的,for the purpose of,The purpose of this trip is sightseeing.,この旅行の目的は観光です。,?次旅行的目的是?光。,A,0,A
190,staff,名?,スタッフ、職員,?工；??,medical staff,The hospital staff were very kind.,病院のスタッフはとても親切でした。,医院工作人?很?切。,A,0,A
191,visitor,名?,訪問者,?客；游客,visitors to a museum,There were many visitors to the museum.,博物館には多くの来館者がいました。,博物?有很多参?者。,A,0,A
192,army,名?,陸軍、軍隊,??；??,the U.S. Army,He joined the army when he was young.,彼は若いころ陸軍に入りました。,他年??参了?。,A,0,A
193,bill,名?,請求書、紙幣,??；??,pay the bill,"Could I have the bill, please?",お勘定をお願いします。,??我??。,A,0,A
194,center,名?,中心、センター,中心；中央,at the center of,The library is at the center of the city.,図書館は町の中心にあります。,???在城市中心。,A,0,A
195,choice,名?,選択権、選択,??；???,have no choice but to do,We have no choice but to wait.,私たちは待つしかありません。,我??无??，只能等待。,A,0,A
196,coach,名?,コーチ,教?,my tennis coach,My tennis coach is very strict.,私のテニスコーチはとても厳しいです。,我的网球教?很?格。,A,0,A
197,community,名?,コミュニティー、地域社会,社区；共同体,community center,The community center is near the station.,コミュニティーセンターは駅の近くにあります。,社区中心在?站附近。,A,0,A
198,condition,名?,状態、状況、条件,状?；情况；条件,be in good condition,The old car is in good condition.,その古い車は良い状態です。,那?旧?状?很好。,A,0,A
199,department,名?,部、学部、売場,部?；学部；??,sales department,She works in the sales department.,彼女は営業部で働いています。,?在?售部工作。,A,0,A
200,desert,名?,砂漠、荒れ野,沙漠；荒野,grow in the desert,Very few plants grow in the desert.,砂漠ではごく少数の植物しか育ちません。,沙漠里很少有植物生?。,A,0,A
201,dessert,名?,デザート,甜点,have dessert,We had ice cream for dessert.,私たちはデザートにアイスクリームを食べました。,我?甜点吃了冰淇淋。,A,0,A
202,detail,名?,詳細、細部,??；??内容,details of the meeting,Please check the details of the meeting.,会議の詳細を確認してください。,???会???。,A,0,A
